summary,undefined,
originalResource,{"url":"https://eip.ceh.ac.uk/apps/rainfall/gb.html","title":"EIP | Rainfall"},
metadataURL,https://catalogue.ceh.ac.uk/documents/33604ea0-c238-4488-813d-0ad9ab7c51ca,
termsAndConditions,http://eidchub.ceh.ac.uk/administration-folder/tools/ceh-standard-licence-texts/integrated-hydrological-units-of-the-united-kingdom-web-service/plain,
credits,CEH, Terms and conditions apply,
variable,{"title":"Rainfall (daily)","units":"kg m-2"},
location,x514115y180419,
DATES,Rainfall (daily)
2009-03-01,0
2009-03-02,0.09842271
2009-03-03,15.846057
2009-03-04,0.19684543
2009-03-05,0
2009-03-06,0
2009-03-07,0.59053624
2009-03-08,3.444795
2009-03-09,3.6416404
2009-03-10,0.688959
2009-03-11,0.09842271
2009-03-12,0
2009-03-13,0
2009-03-14,0
2009-03-15,0
2009-03-16,0
2009-03-17,0
2009-03-18,0
2009-03-19,0
2009-03-20,0
2009-03-21,0
2009-03-22,0
2009-03-23,1.1810725
2009-03-24,1.8700316
2009-03-25,0.8858045
2009-03-26,0.7873817
2009-03-27,0.39369085
2009-03-28,1.377918
2009-03-29,0.09842271
2009-03-30,0
2009-03-31,0
2009-04-01,0
2009-04-02,0
2009-04-03,0
2009-04-04,0
2009-04-05,0
2009-04-06,0
2009-04-07,1.1304348
2009-04-08,0.0942029
2009-04-09,0
2009-04-10,7.15942
2009-04-11,2.0724638
2009-04-12,0
2009-04-13,0
2009-04-14,0.7536232
2009-04-15,0.4710145
2009-04-16,3.6739132
2009-04-17,4.2391305
2009-04-18,0
2009-04-19,0
2009-04-20,0
2009-04-21,0
2009-04-22,0
2009-04-23,0
2009-04-24,0.5652174
2009-04-25,0.0942029
2009-04-26,1.1304348
2009-04-27,4.521739
2009-04-28,0.0942029
2009-04-29,0
2009-04-30,0
2009-05-01,0
