,Unnamed: 0,date,time,type,state,location,BE
7677,7677,04/02/2009,19:41:46,M48,ON,Wash_Bathtub,begin
7678,7678,04/02/2009,19:41:47,M49,ON,nan,nan
7679,7679,04/02/2009,19:41:47,M50,ON,nan,nan
7680,7680,04/02/2009,19:41:49,M43,ON,nan,nan
7681,7681,04/02/2009,19:41:49,M45,OFF,nan,nan
7682,7682,04/02/2009,19:41:49,M44,ON,nan,nan
7683,7683,04/02/2009,19:41:49,M46,OFF,nan,nan
7684,7684,04/02/2009,19:41:50,M28,ON,nan,nan
7685,7685,04/02/2009,19:41:50,M48,OFF,nan,nan
7686,7686,04/02/2009,19:41:50,M49,OFF,nan,nan
7687,7687,04/02/2009,19:41:50,M29,ON,nan,nan
7688,7688,04/02/2009,19:41:52,M28,OFF,nan,nan
7689,7689,04/02/2009,19:41:52,M43,OFF,nan,nan
7690,7690,04/02/2009,19:41:52,M37,ON,nan,nan
7691,7691,04/02/2009,19:41:52,M50,OFF,nan,nan
7692,7692,04/02/2009,19:41:52,M38,ON,nan,nan
7693,7693,04/02/2009,19:41:52,M44,OFF,nan,nan
7694,7694,04/02/2009,19:41:53,M29,OFF,nan,nan
7695,7695,04/02/2009,19:41:53,M37,OFF,nan,nan
7696,7696,04/02/2009,19:41:55,M37,ON,nan,nan
7697,7697,04/02/2009,19:41:58,M39,ON,nan,nan
7698,7698,04/02/2009,19:41:58,M37,ON,nan,nan
7699,7699,04/02/2009,19:42:01,M37,OFF,nan,nan
7700,7700,04/02/2009,19:42:01,M38,OFF,nan,nan
7701,7701,04/02/2009,19:42:02,M40,ON,nan,nan
7702,7702,04/02/2009,19:42:06,M40,OFF,nan,nan
7703,7703,04/02/2009,19:42:07,M40,ON,nan,nan
7704,7704,04/02/2009,19:42:10,M40,OFF,nan,nan
7705,7705,04/02/2009,19:42:11,M40,ON,nan,nan
7706,7706,04/02/2009,19:42:15,M40,OFF,nan,nan
7707,7707,04/02/2009,19:42:22,M39,OFF,nan,nan
7708,7708,04/02/2009,19:42:22,M40,ON,nan,nan
7709,7709,04/02/2009,19:42:23,M40,OFF,nan,nan
7710,7710,04/02/2009,19:42:46,M40,ON,nan,nan
7711,7711,04/02/2009,19:42:53,M39,ON,nan,nan
7712,7712,04/02/2009,19:42:55,M38,ON,nan,nan
7713,7713,04/02/2009,19:42:55,M40,OFF,nan,nan
7714,7714,04/02/2009,19:42:58,M39,OFF,nan,nan
7715,7715,04/02/2009,19:43:02,M38,OFF,nan,nan
7716,7716,04/02/2009,19:43:04,M38,ON,nan,nan
7717,7717,04/02/2009,19:43:08,M38,OFF,nan,nan
7718,7718,04/02/2009,19:43:09,M38,ON,nan,nan
7719,7719,04/02/2009,19:43:25,M38,OFF,nan,nan
7720,7720,04/02/2009,19:43:41,M38,ON,nan,nan
7721,7721,04/02/2009,19:43:44,M38,OFF,nan,nan
7722,7722,04/02/2009,19:43:45,M38,ON,nan,nan
7723,7723,04/02/2009,19:43:51,M38,OFF,nan,nan
7724,7724,04/02/2009,19:43:56,M38,ON,nan,nan
7725,7725,04/02/2009,19:44:04,M38,OFF,nan,nan
7726,7726,04/02/2009,19:44:06,M38,ON,nan,nan
7727,7727,04/02/2009,19:44:10,M37,ON,nan,nan
7728,7728,04/02/2009,19:44:13,M37,OFF,nan,nan
7729,7729,04/02/2009,19:44:15,M38,OFF,nan,nan
7730,7730,04/02/2009,19:44:21,M38,ON,nan,nan
7731,7731,04/02/2009,19:44:22,M39,ON,nan,nan
7732,7732,04/02/2009,19:44:24,M38,OFF,nan,nan
7733,7733,04/02/2009,19:44:25,M40,ON,nan,nan
7734,7734,04/02/2009,19:44:29,M39,OFF,nan,nan
7735,7735,04/02/2009,19:44:29,M40,OFF,nan,nan
7736,7736,04/02/2009,19:44:34,M40,ON,nan,nan
