,Unnamed: 0,date,time,type,state,location,BE
0,0,02/02/2009,07:15:17,M35,ON,R1_Bed_to_Toilet,begin
1,1,02/02/2009,07:15:21,AD1-A,2.82231,nan,nan
2,2,02/02/2009,07:15:23,M35,OFF,nan,nan
3,3,02/02/2009,07:15:23,M35,ON,nan,nan
4,4,02/02/2009,07:15:28,AD1-A,2.79926,nan,nan
5,5,02/02/2009,07:15:29,M34,ON,nan,nan
6,6,02/02/2009,07:15:33,M34,OFF,nan,nan
7,7,02/02/2009,07:15:33,M35,OFF,nan,nan
8,8,02/02/2009,07:17:53,M35,ON,nan,nan
9,9,02/02/2009,07:17:56,M34,OFF,nan,nan
10,10,02/02/2009,07:17:59,M35,OFF,nan,nan
11,11,02/02/2009,07:18:20,M35,ON,nan,nan
12,12,02/02/2009,07:18:20,M34,ON,nan,nan
13,13,02/02/2009,07:18:22,M34,OFF,nan,nan
14,14,02/02/2009,07:18:23,M35,OFF,nan,nan
15,15,02/02/2009,07:18:24,M35,ON,nan,nan
16,16,02/02/2009,07:18:29,M35,OFF,nan,nan
17,17,02/02/2009,07:18:30,M35,ON,nan,nan
18,18,02/02/2009,07:18:31,M34,ON,nan,nan
19,19,02/02/2009,07:18:35,M35,OFF,nan,nan
20,20,02/02/2009,07:18:46,M35,ON,nan,nan
21,21,02/02/2009,07:18:49,M32,ON,nan,nan
22,22,02/02/2009,07:18:49,M34,OFF,nan,nan
23,23,02/02/2009,07:18:50,M34,OFF,nan,nan
24,24,02/02/2009,07:18:51,M35,OFF,nan,nan
25,25,02/02/2009,07:18:52,M33,ON,nan,nan
26,26,02/02/2009,07:18:53,M33,OFF,nan,nan
27,27,02/02/2009,07:18:53,M33,ON,nan,nan
28,28,02/02/2009,07:18:56,M33,OFF,nan,nan
29,29,02/02/2009,07:18:56,M35,ON,nan,nan
30,30,02/02/2009,07:18:58,M34,ON,nan,nan
31,31,02/02/2009,07:18:59,M34,OFF,nan,nan
32,32,02/02/2009,07:18:59,M36,ON,nan,nan
33,33,02/02/2009,07:19:04,M35,OFF,nan,nan
34,34,02/02/2009,07:19:04,M36,OFF,nan,nan
35,35,02/02/2009,07:19:05,M35,ON,nan,nan
36,36,02/02/2009,07:19:12,M33,ON,nan,nan
37,37,02/02/2009,07:19:13,M35,OFF,nan,nan
38,38,02/02/2009,07:19:16,M33,OFF,nan,nan
39,39,02/02/2009,07:19:22,M35,ON,nan,nan
40,40,02/02/2009,07:19:25,M32,OFF,nan,nan
41,41,02/02/2009,07:19:26,M35,OFF,nan,nan
42,42,02/02/2009,07:19:28,M35,ON,nan,nan
43,43,02/02/2009,07:19:31,M35,OFF,nan,nan
44,44,02/02/2009,07:19:46,M35,ON,nan,nan
45,45,02/02/2009,07:19:47,M36,ON,nan,nan
46,46,02/02/2009,07:19:49,M30,ON,nan,nan
47,47,02/02/2009,07:19:50,M35,OFF,nan,nan
48,48,02/02/2009,07:19:50,M36,OFF,nan,nan
