,Unnamed: 0,date,time,type,state,location,BE
174,174,02/02/2009,07:44:13,M49,ON,R2_Bed_to_Toilet,begin
175,175,02/02/2009,07:44:13,M38,OFF,nan,nan
176,176,02/02/2009,07:44:13,M46,OFF,nan,nan
177,177,02/02/2009,07:44:15,M50,ON,nan,nan
178,178,02/02/2009,07:44:16,M44,ON,nan,nan
179,179,02/02/2009,07:44:16,M47,OFF,nan,nan
180,180,02/02/2009,07:44:18,M48,OFF,nan,nan
181,181,02/02/2009,07:44:18,M49,OFF,nan,nan
182,182,02/02/2009,07:44:19,M43,ON,nan,nan
183,183,02/02/2009,07:44:21,M28,ON,nan,nan
184,184,02/02/2009,07:44:21,M42,ON,nan,nan
185,185,02/02/2009,07:44:21,M50,OFF,nan,nan
186,186,02/02/2009,07:44:22,M28,OFF,nan,nan
187,187,02/02/2009,07:44:23,M44,OFF,nan,nan
188,188,02/02/2009,07:44:25,M43,OFF,nan,nan
189,189,02/02/2009,07:44:25,M42,OFF,nan,nan
190,190,02/02/2009,07:44:27,M38,ON,nan,nan
191,191,02/02/2009,07:45:07,M39,ON,nan,nan
192,192,02/02/2009,07:45:10,M40,ON,nan,nan
193,193,02/02/2009,07:45:10,M41,ON,nan,nan
194,194,02/02/2009,07:45:11,M38,OFF,nan,nan
195,195,02/02/2009,07:45:12,M39,OFF,nan,nan
196,196,02/02/2009,07:45:15,M40,OFF,nan,nan
197,197,02/02/2009,07:45:19,M41,OFF,nan,nan
198,198,02/02/2009,07:45:19,M41,ON,nan,nan
199,199,02/02/2009,07:45:21,M41,OFF,nan,nan
200,200,02/02/2009,07:45:27,M41,ON,nan,nan
201,201,02/02/2009,07:45:27,M32,ON,nan,nan
202,202,02/02/2009,07:45:28,M32,ON,nan,nan
203,203,02/02/2009,07:45:30,M41,OFF,nan,nan
204,204,02/02/2009,07:45:30,M36,ON,nan,nan
205,205,02/02/2009,07:45:31,M30,ON,nan,nan
206,206,02/02/2009,07:45:31,M32,OFF,nan,nan
207,207,02/02/2009,07:45:32,M29,ON,nan,nan
208,208,02/02/2009,07:45:33,M28,ON,nan,nan
209,209,02/02/2009,07:45:33,M36,OFF,nan,nan
210,210,02/02/2009,07:45:34,M30,OFF,nan,nan
211,211,02/02/2009,07:45:36,M29,OFF,nan,nan
212,212,02/02/2009,07:45:39,M28,OFF,nan,nan
213,213,02/02/2009,07:45:40,M28,ON,nan,nan
214,214,02/02/2009,07:45:42,M28,OFF,nan,nan
215,215,02/02/2009,07:45:43,M28,OFF,nan,nan
216,216,02/02/2009,07:45:43,M28,ON,nan,nan
217,217,02/02/2009,07:45:46,M27,ON,nan,nan
218,218,02/02/2009,07:45:46,M41,ON,nan,nan
219,219,02/02/2009,07:45:48,M41,OFF,nan,nan
220,220,02/02/2009,07:45:48,M28,OFF,nan,nan
221,221,02/02/2009,07:45:53,M27,OFF,nan,nan
222,222,02/02/2009,07:45:55,M27,ON,nan,nan
223,223,02/02/2009,07:46:03,M40,ON,nan,nan
224,224,02/02/2009,07:46:04,M39,ON,nan,nan
225,225,02/02/2009,07:46:06,M38,ON,nan,nan
226,226,02/02/2009,07:46:07,M37,ON,nan,nan
227,227,02/02/2009,07:46:07,M41,OFF,nan,nan
228,228,02/02/2009,07:46:07,M39,OFF,nan,nan
229,229,02/02/2009,07:46:08,M40,OFF,nan,nan
230,230,02/02/2009,07:46:12,M42,ON,nan,nan
231,231,02/02/2009,07:46:13,M38,OFF,nan,nan
232,232,02/02/2009,07:46:13,M43,ON,nan,nan
233,233,02/02/2009,07:46:13,M37,OFF,nan,nan
234,234,02/02/2009,07:46:15,M43,OFF,nan,nan
235,235,02/02/2009,07:46:16,M42,OFF,nan,nan
236,236,02/02/2009,07:46:40,M43,ON,nan,nan
237,237,02/02/2009,07:46:41,M42,ON,nan,nan
238,238,02/02/2009,07:46:42,M44,ON,nan,nan
239,239,02/02/2009,07:46:43,M50,ON,nan,nan
240,240,02/02/2009,07:46:45,M43,OFF,nan,nan
241,241,02/02/2009,07:46:45,M42,OFF,nan,nan
