,Unnamed: 0,date,time,type,state,location,BE
14494,14494,06/02/2009,17:16:01,M19,ON,Clean,begin
14495,14495,06/02/2009,17:16:01,M21,OFF,nan,nan
14496,14496,06/02/2009,17:16:01,M25,OFF,nan,nan
14497,14497,06/02/2009,17:16:02,M24,OFF,nan,nan
14498,14498,06/02/2009,17:16:02,M17,ON,nan,nan
14499,14499,06/02/2009,17:16:04,M19,OFF,nan,nan
14500,14500,06/02/2009,17:16:07,M17,OFF,nan,nan
14501,14501,06/02/2009,17:16:12,M17,ON,nan,nan
14502,14502,06/02/2009,17:16:16,M17,OFF,nan,nan
14503,14503,06/02/2009,17:16:22,M16,ON,nan,nan
14504,14504,06/02/2009,17:16:25,M49,ON,nan,nan
14505,14505,06/02/2009,17:16:26,M46,OFF,nan,nan
14506,14506,06/02/2009,17:16:28,M49,OFF,nan,nan
14507,14507,06/02/2009,17:16:29,M15,ON,nan,nan
14508,14508,06/02/2009,17:16:30,M46,OFF,nan,nan
14509,14509,06/02/2009,17:16:31,M14,ON,nan,nan
14510,14510,06/02/2009,17:16:32,M13,ON,nan,nan
14511,14511,06/02/2009,17:16:32,M16,OFF,nan,nan
14512,14512,06/02/2009,17:16:34,M12,ON,nan,nan
14513,14513,06/02/2009,17:16:34,M15,OFF,nan,nan
14514,14514,06/02/2009,17:16:34,M11,ON,nan,nan
14515,14515,06/02/2009,17:16:34,M14,OFF,nan,nan
14516,14516,06/02/2009,17:16:35,M13,OFF,nan,nan
14517,14517,06/02/2009,17:16:37,M12,OFF,nan,nan
14518,14518,06/02/2009,17:16:43,M11,OFF,nan,nan
14519,14519,06/02/2009,17:16:44,M11,ON,nan,nan
14520,14520,06/02/2009,17:16:46,M11,OFF,nan,nan
14521,14521,06/02/2009,17:16:52,M46,ON,nan,nan
14522,14522,06/02/2009,17:16:53,M12,ON,nan,nan
14523,14523,06/02/2009,17:16:53,M11,ON,nan,nan
14524,14524,06/02/2009,17:16:55,M14,ON,nan,nan
14525,14525,06/02/2009,17:16:55,M13,ON,nan,nan
14526,14526,06/02/2009,17:16:55,M12,OFF,nan,nan
14527,14527,06/02/2009,17:16:57,M08,ON,nan,nan
14528,14528,06/02/2009,17:16:57,M11,OFF,nan,nan
14529,14529,06/02/2009,17:16:57,M13,OFF,nan,nan
14530,14530,06/02/2009,17:16:58,M14,OFF,nan,nan
14531,14531,06/02/2009,17:16:58,M01,ON,nan,nan
14532,14532,06/02/2009,17:16:59,M01,OFF,nan,nan
14533,14533,06/02/2009,17:17:00,M08,OFF,nan,nan
14534,14534,06/02/2009,17:17:00,M49,ON,nan,nan
14535,14535,06/02/2009,17:17:03,M01,ON,nan,nan
14536,14536,06/02/2009,17:17:03,M49,OFF,nan,nan
14537,14537,06/02/2009,17:17:04,M01,OFF,nan,nan
14538,14538,06/02/2009,17:17:06,M01,ON,nan,nan
14539,14539,06/02/2009,17:17:07,M01,OFF,nan,nan
14540,14540,06/02/2009,17:17:07,M49,ON,nan,nan
14541,14541,06/02/2009,17:17:09,M02,ON,nan,nan
14542,14542,06/02/2009,17:17:09,M44,ON,nan,nan
