,Unnamed: 0,date,time,type,state,location,BE
72,72,02/02/2009,07:21:04,M40,OFF,R1_Personal_Hygiene,begin
73,73,02/02/2009,07:21:04,M40,ON,nan,nan
74,74,02/02/2009,07:21:11,M38,ON,nan,nan
75,75,02/02/2009,07:21:13,M39,OFF,nan,nan
76,76,02/02/2009,07:21:16,M38,OFF,nan,nan
77,77,02/02/2009,07:21:16,M40,OFF,nan,nan
78,78,02/02/2009,07:21:17,M38,ON,nan,nan
79,79,02/02/2009,07:21:28,M39,ON,nan,nan
80,80,02/02/2009,07:21:32,M39,OFF,nan,nan
81,81,02/02/2009,07:21:34,M38,OFF,nan,nan
82,82,02/02/2009,07:30:08,M39,ON,nan,nan
83,83,02/02/2009,07:30:14,M39,OFF,nan,nan
84,84,02/02/2009,07:30:24,M39,ON,nan,nan
85,85,02/02/2009,07:30:29,M39,OFF,nan,nan
86,86,02/02/2009,07:30:44,M39,ON,nan,nan
87,87,02/02/2009,07:30:47,M39,OFF,nan,nan
88,88,02/02/2009,07:30:50,M39,ON,nan,nan
89,89,02/02/2009,07:30:50,M39,OFF,nan,nan
90,90,02/02/2009,07:30:53,M39,ON,nan,nan
91,91,02/02/2009,07:30:54,M39,OFF,nan,nan
92,92,02/02/2009,07:31:14,M39,ON,nan,nan
93,93,02/02/2009,07:31:17,M39,OFF,nan,nan
94,94,02/02/2009,07:31:21,M39,ON,nan,nan
95,95,02/02/2009,07:31:24,M39,OFF,nan,nan
96,96,02/02/2009,07:31:25,M39,ON,nan,nan
97,97,02/02/2009,07:31:27,M39,OFF,nan,nan
98,98,02/02/2009,07:31:27,M39,ON,nan,nan
99,99,02/02/2009,07:31:39,M38,ON,nan,nan
100,100,02/02/2009,07:31:43,M39,OFF,nan,nan
101,101,02/02/2009,07:32:18,M38,ON,nan,nan
102,102,02/02/2009,07:32:29,M38,OFF,nan,nan
103,103,02/02/2009,07:32:32,M38,ON,nan,nan
104,104,02/02/2009,07:32:54,M38,OFF,nan,nan
105,105,02/02/2009,07:32:56,M38,ON,nan,nan
106,106,02/02/2009,07:33:05,M38,OFF,nan,nan
107,107,02/02/2009,07:33:05,M38,ON,nan,nan
108,108,02/02/2009,07:33:14,M38,OFF,nan,nan
109,109,02/02/2009,07:33:15,M38,ON,nan,nan
110,110,02/02/2009,07:33:18,M38,OFF,nan,nan
111,111,02/02/2009,07:33:28,M38,ON,nan,nan
112,112,02/02/2009,07:33:32,M38,OFF,nan,nan
113,113,02/02/2009,07:33:35,M38,ON,nan,nan
114,114,02/02/2009,07:33:52,M38,ON,nan,nan
115,115,02/02/2009,07:34:01,M38,OFF,nan,nan
116,116,02/02/2009,07:34:04,M38,ON,nan,nan
117,117,02/02/2009,07:34:04,M38,OFF,nan,nan
118,118,02/02/2009,07:34:05,M38,ON,nan,nan
119,119,02/02/2009,07:34:06,M38,OFF,nan,nan
120,120,02/02/2009,07:34:09,M38,ON,nan,nan
121,121,02/02/2009,07:34:21,M38,OFF,nan,nan
122,122,02/02/2009,07:34:24,M38,ON,nan,nan
123,123,02/02/2009,07:34:28,M38,ON,nan,nan
124,124,02/02/2009,07:34:31,M38,ON,nan,nan
125,125,02/02/2009,07:34:39,M38,OFF,nan,nan
126,126,02/02/2009,07:34:42,M38,ON,nan,nan
127,127,02/02/2009,07:34:55,M38,OFF,nan,nan
128,128,02/02/2009,07:34:57,M38,ON,nan,nan
129,129,02/02/2009,07:34:58,M38,OFF,nan,nan
130,130,02/02/2009,07:35:07,M38,ON,nan,nan
131,131,02/02/2009,07:35:12,M38,OFF,nan,nan
132,132,02/02/2009,07:35:13,M38,ON,nan,nan
133,133,02/02/2009,07:35:16,M39,ON,nan,nan
134,134,02/02/2009,07:35:19,M38,OFF,nan,nan
135,135,02/02/2009,07:35:21,M38,ON,nan,nan
136,136,02/02/2009,07:35:25,M38,OFF,nan,nan
137,137,02/02/2009,07:35:31,M38,ON,nan,nan
138,138,02/02/2009,07:35:36,M39,OFF,nan,nan
139,139,02/02/2009,07:35:57,M38,ON,nan,nan
140,140,02/02/2009,07:36:02,M38,OFF,nan,nan
141,141,02/02/2009,07:36:04,M38,ON,nan,nan
142,142,02/02/2009,07:36:12,M38,OFF,nan,nan
143,143,02/02/2009,07:36:13,M38,ON,nan,nan
144,144,02/02/2009,07:36:22,M38,OFF,nan,nan
145,145,02/02/2009,07:36:24,M38,ON,nan,nan
146,146,02/02/2009,07:36:40,M38,OFF,nan,nan
147,147,02/02/2009,07:36:42,M38,ON,nan,nan
148,148,02/02/2009,07:36:46,M39,ON,nan,nan
149,149,02/02/2009,07:36:50,M38,OFF,nan,nan
150,150,02/02/2009,07:36:51,M39,OFF,nan,nan
151,151,02/02/2009,07:36:54,M40,ON,nan,nan
152,152,02/02/2009,07:36:57,M39,ON,nan,nan
153,153,02/02/2009,07:36:58,M38,ON,nan,nan
154,154,02/02/2009,07:37:00,M39,OFF,nan,nan
155,155,02/02/2009,07:37:00,M40,OFF,nan,nan
156,156,02/02/2009,07:37:13,M38,OFF,nan,nan
157,157,02/02/2009,07:38:00,M38,ON,nan,nan
158,158,02/02/2009,07:38:03,M38,OFF,nan,nan
159,159,02/02/2009,07:38:04,M38,ON,nan,nan
160,160,02/02/2009,07:38:06,M38,ON,nan,nan
161,161,02/02/2009,07:38:09,M38,OFF,nan,nan
162,162,02/02/2009,07:38:15,M38,ON,nan,nan
163,163,02/02/2009,07:38:16,M38,OFF,nan,nan
164,164,02/02/2009,07:38:22,M38,ON,nan,nan
165,165,02/02/2009,07:38:25,M37,ON,nan,nan
166,166,02/02/2009,07:38:27,M38,OFF,nan,nan
167,167,02/02/2009,07:38:28,M38,ON,nan,nan
168,168,02/02/2009,07:38:30,M29,ON,nan,nan
169,169,02/02/2009,07:38:30,M30,ON,nan,nan
170,170,02/02/2009,07:38:30,M38,OFF,nan,nan
171,171,02/02/2009,07:38:31,M29,OFF,nan,nan
172,172,02/02/2009,07:38:31,M37,OFF,nan,nan
173,173,02/02/2009,07:38:34,M36,ON,R1_Personal_Hygiene,end
6804,6804,04/02/2009,07:40:06,M35,ON,R1_Personal_Hygiene,begin
6805,6805,04/02/2009,07:40:06,M19,ON,Meal_Preparation,end
6806,6806,04/02/2009,07:40:07,M30,ON,nan,nan
6807,6807,04/02/2009,07:40:08,M30,OFF,nan,nan
6808,6808,04/02/2009,07:40:09,M36,OFF,nan,nan
6809,6809,04/02/2009,07:40:09,M37,ON,nan,nan
6810,6810,04/02/2009,07:40:16,M37,OFF,nan,nan
6811,6811,04/02/2009,07:40:17,M38,ON,nan,nan
6812,6812,04/02/2009,07:40:33,M29,ON,nan,nan
6813,6813,04/02/2009,07:40:39,M29,OFF,nan,nan
6814,6814,04/02/2009,07:40:51,M38,OFF,nan,nan
6815,6815,04/02/2009,07:41:20,M38,OFF,nan,nan
6816,6816,04/02/2009,07:41:23,M38,ON,nan,nan
6817,6817,04/02/2009,07:42:16,M38,OFF,nan,nan
6818,6818,04/02/2009,07:42:20,M38,ON,nan,nan
6819,6819,04/02/2009,07:42:28,M39,ON,nan,nan
6820,6820,04/02/2009,07:42:32,M38,OFF,nan,nan
6821,6821,04/02/2009,07:42:33,M40,ON,nan,nan
6822,6822,04/02/2009,07:42:35,M39,OFF,nan,nan
6823,6823,04/02/2009,07:42:38,M39,ON,nan,nan
6824,6824,04/02/2009,07:42:44,M38,ON,nan,nan
6825,6825,04/02/2009,07:42:44,M40,OFF,nan,nan
6826,6826,04/02/2009,07:42:48,M39,OFF,nan,nan
6827,6827,04/02/2009,07:43:20,M38,ON,nan,nan
6828,6828,04/02/2009,07:43:46,M38,OFF,nan,nan
6829,6829,04/02/2009,07:43:49,M38,ON,nan,nan
6830,6830,04/02/2009,07:43:52,M38,OFF,nan,nan
6831,6831,04/02/2009,07:43:57,M38,ON,nan,nan
6832,6832,04/02/2009,07:44:18,M38,OFF,nan,nan
6833,6833,04/02/2009,07:44:22,M38,ON,nan,nan
6834,6834,04/02/2009,07:45:01,M39,ON,nan,nan
6835,6835,04/02/2009,07:45:05,M38,OFF,nan,nan
6836,6836,04/02/2009,07:45:07,M38,ON,nan,nan
6837,6837,04/02/2009,07:45:14,M39,OFF,nan,nan
6838,6838,04/02/2009,07:45:30,M38,OFF,nan,nan
6839,6839,04/02/2009,07:45:39,M38,ON,nan,nan
6840,6840,04/02/2009,07:45:42,M38,ON,nan,nan
6841,6841,04/02/2009,07:45:45,M38,OFF,nan,nan
6842,6842,04/02/2009,07:45:53,M38,ON,nan,nan
6843,6843,04/02/2009,07:45:56,M38,OFF,nan,nan
6844,6844,04/02/2009,07:46:06,M38,ON,nan,nan
6845,6845,04/02/2009,07:46:08,M38,OFF,nan,nan
6846,6846,04/02/2009,07:46:18,M38,ON,nan,nan
6847,6847,04/02/2009,07:46:24,M37,ON,nan,nan
6848,6848,04/02/2009,07:46:29,M37,OFF,nan,nan
6849,6849,04/02/2009,07:46:29,M30,ON,nan,nan
6850,6850,04/02/2009,07:46:29,M38,OFF,nan,nan
6851,6851,04/02/2009,07:46:30,M36,ON,nan,nan
6852,6852,04/02/2009,07:46:36,M35,ON,R1_Personal_Hygiene,end
12670,12670,05/02/2009,23:06:31,M32,ON,R1_Personal_Hygiene,begin
12671,12671,05/02/2009,23:06:32,M36,ON,nan,nan
12672,12672,05/02/2009,23:06:35,M32,OFF,nan,nan
12673,12673,05/02/2009,23:06:36,M30,ON,nan,nan
12674,12674,05/02/2009,23:06:38,M37,ON,nan,nan
12675,12675,05/02/2009,23:06:38,M36,OFF,nan,nan
12676,12676,05/02/2009,23:06:39,M30,OFF,nan,nan
12677,12677,05/02/2009,23:06:40,M38,ON,nan,nan
12678,12678,05/02/2009,23:06:44,M37,OFF,nan,nan
12679,12679,05/02/2009,23:06:44,M38,OFF,nan,nan
12680,12680,05/02/2009,23:07:12,M38,ON,nan,nan
12681,12681,05/02/2009,23:07:18,M47,ON,nan,nan
12682,12682,05/02/2009,23:07:19,M48,ON,nan,nan
12683,12683,05/02/2009,23:07:23,M47,OFF,nan,nan
12684,12684,05/02/2009,23:07:24,M47,ON,nan,nan
12685,12685,05/02/2009,23:07:24,M38,OFF,nan,nan
12686,12686,05/02/2009,23:07:28,M38,ON,nan,nan
12687,12687,05/02/2009,23:07:28,M47,OFF,nan,nan
12688,12688,05/02/2009,23:07:30,M48,OFF,nan,nan
12689,12689,05/02/2009,23:07:32,M48,ON,nan,nan
12690,12690,05/02/2009,23:07:35,M48,OFF,nan,nan
12691,12691,05/02/2009,23:07:43,M38,OFF,nan,nan
12692,12692,05/02/2009,23:07:49,M38,ON,nan,nan
12693,12693,05/02/2009,23:07:51,M38,OFF,nan,nan
12694,12694,05/02/2009,23:08:00,M38,ON,nan,nan
12695,12695,05/02/2009,23:08:05,M38,OFF,nan,nan
12696,12696,05/02/2009,23:08:08,M38,ON,nan,nan
12697,12697,05/02/2009,23:08:12,M38,OFF,nan,nan
12698,12698,05/02/2009,23:08:13,M38,ON,nan,nan
12699,12699,05/02/2009,23:08:15,M38,OFF,nan,nan
