,Unnamed: 0,date,time,type,state,location,BE
647,647,02/02/2009,10:51:07,M46,ON,R2_Personal_Hygiene,begin
648,648,02/02/2009,10:51:12,M37,ON,nan,nan
649,649,02/02/2009,10:51:12,M50,OFF,nan,nan
650,650,02/02/2009,10:51:12,M46,OFF,nan,nan
651,651,02/02/2009,10:51:21,M43,OFF,nan,nan
652,652,02/02/2009,10:51:21,M37,OFF,nan,nan
653,653,02/02/2009,10:51:21,M50,ON,nan,nan
654,654,02/02/2009,10:51:26,M47,ON,nan,nan
655,655,02/02/2009,10:51:26,M50,OFF,nan,nan
656,656,02/02/2009,10:51:27,M46,ON,nan,nan
657,657,02/02/2009,10:51:30,M47,OFF,nan,nan
658,658,02/02/2009,10:51:41,M47,ON,nan,nan
659,659,02/02/2009,10:51:41,M49,OFF,nan,nan
660,660,02/02/2009,10:51:46,M47,OFF,nan,nan
661,661,02/02/2009,10:51:46,M49,ON,nan,nan
662,662,02/02/2009,10:51:46,M50,ON,nan,nan
663,663,02/02/2009,10:51:46,M44,ON,nan,nan
664,664,02/02/2009,10:51:46,M46,OFF,nan,nan
665,665,02/02/2009,10:51:51,M49,OFF,nan,nan
666,666,02/02/2009,10:51:51,M50,OFF,nan,nan
667,667,02/02/2009,10:51:51,M44,OFF,nan,nan
668,668,02/02/2009,10:52:03,M44,ON,nan,nan
669,669,02/02/2009,10:52:07,M43,ON,nan,nan
670,670,02/02/2009,10:52:07,M50,ON,nan,nan
671,671,02/02/2009,10:52:13,M43,OFF,nan,nan
672,672,02/02/2009,10:52:18,M50,OFF,nan,nan
673,673,02/02/2009,10:52:18,M44,OFF,nan,nan
674,674,02/02/2009,10:52:21,M44,ON,nan,nan
675,675,02/02/2009,10:52:25,M44,OFF,nan,nan
676,676,02/02/2009,10:52:28,M43,ON,nan,nan
677,677,02/02/2009,10:52:29,M50,ON,nan,nan
678,678,02/02/2009,10:52:29,M44,ON,nan,nan
679,679,02/02/2009,10:52:33,M43,OFF,nan,nan
680,680,02/02/2009,10:52:33,M37,ON,nan,nan
681,681,02/02/2009,10:52:33,M50,OFF,nan,nan
682,682,02/02/2009,10:52:33,M38,ON,nan,nan
683,683,02/02/2009,10:52:33,M44,OFF,nan,nan
684,684,02/02/2009,10:52:43,M38,OFF,nan,nan
685,685,02/02/2009,10:52:48,M38,ON,nan,nan
686,686,02/02/2009,10:52:48,M39,ON,nan,nan
687,687,02/02/2009,10:52:53,M37,OFF,nan,nan
688,688,02/02/2009,10:52:54,M38,OFF,nan,nan
689,689,02/02/2009,10:52:54,M40,ON,nan,nan
690,690,02/02/2009,10:53:03,M38,ON,nan,nan
691,691,02/02/2009,10:53:03,M39,OFF,nan,nan
692,692,02/02/2009,10:53:09,M40,OFF,nan,nan
693,693,02/02/2009,10:53:19,M39,ON,nan,nan
694,694,02/02/2009,10:53:22,M38,OFF,nan,nan
695,695,02/02/2009,10:53:27,M38,ON,nan,nan
696,696,02/02/2009,10:53:27,M40,ON,nan,nan
697,697,02/02/2009,10:53:36,M38,OFF,nan,nan
698,698,02/02/2009,10:53:40,M40,OFF,nan,nan
699,699,02/02/2009,10:53:45,M39,OFF,nan,nan
700,700,02/02/2009,11:01:29,M39,ON,nan,nan
701,701,02/02/2009,11:01:32,M39,OFF,nan,nan
702,702,02/02/2009,11:01:57,M39,ON,nan,nan
703,703,02/02/2009,11:02:01,M39,OFF,nan,nan
704,704,02/02/2009,11:02:31,M39,ON,nan,nan
705,705,02/02/2009,11:02:45,M40,ON,nan,nan
706,706,02/02/2009,11:02:52,M39,OFF,nan,nan
707,707,02/02/2009,11:02:58,M39,ON,nan,nan
708,708,02/02/2009,11:03:02,M41,OFF,nan,nan
709,709,02/02/2009,11:03:02,M40,OFF,nan,nan
710,710,02/02/2009,11:03:06,M40,ON,nan,nan
711,711,02/02/2009,11:03:28,M38,ON,nan,nan
712,712,02/02/2009,11:03:28,M39,OFF,nan,nan
713,713,02/02/2009,11:03:28,M40,OFF,nan,nan
714,714,02/02/2009,11:07:39,M37,ON,nan,nan
715,715,02/02/2009,11:07:49,M37,OFF,nan,nan
716,716,02/02/2009,11:07:49,M38,OFF,nan,nan
717,717,02/02/2009,11:07:50,M39,ON,nan,nan
718,718,02/02/2009,11:07:54,M37,ON,nan,nan
719,719,02/02/2009,11:07:54,M38,ON,nan,nan
720,720,02/02/2009,11:07:54,M39,OFF,nan,nan
721,721,02/02/2009,11:08:04,M37,OFF,nan,nan
722,722,02/02/2009,11:08:42,M38,OFF,nan,nan
723,723,02/02/2009,11:10:08,M38,ON,nan,nan
724,724,02/02/2009,11:10:52,M37,ON,nan,nan
725,725,02/02/2009,11:10:56,M37,OFF,nan,nan
726,726,02/02/2009,11:10:56,M38,OFF,nan,nan
727,727,02/02/2009,11:11:01,M37,ON,nan,nan
728,728,02/02/2009,11:11:01,M38,ON,nan,nan
729,729,02/02/2009,11:11:06,M37,OFF,nan,nan
730,730,02/02/2009,11:11:10,M38,OFF,nan,nan
731,731,02/02/2009,11:11:24,M38,ON,nan,nan
732,732,02/02/2009,11:11:32,M38,OFF,nan,nan
733,733,02/02/2009,11:11:40,M38,ON,nan,nan
734,734,02/02/2009,11:11:44,M38,OFF,nan,nan
735,735,02/02/2009,11:11:49,M37,ON,nan,nan
736,736,02/02/2009,11:11:51,M37,ON,nan,nan
737,737,02/02/2009,11:12:00,M37,OFF,nan,nan
738,738,02/02/2009,11:12:04,M37,ON,nan,nan
739,739,02/02/2009,11:12:04,M38,ON,nan,nan
740,740,02/02/2009,11:12:09,M37,OFF,nan,nan
741,741,02/02/2009,11:12:18,M39,ON,nan,nan
742,742,02/02/2009,11:12:27,M39,OFF,nan,nan
743,743,02/02/2009,11:12:50,M38,OFF,nan,nan
744,744,02/02/2009,11:12:54,M38,ON,nan,nan
745,745,02/02/2009,11:13:16,M37,OFF,nan,nan
746,746,02/02/2009,11:15:14,M37,ON,nan,nan
747,747,02/02/2009,11:15:17,M37,ON,nan,nan
748,748,02/02/2009,11:15:24,M43,ON,nan,nan
749,749,02/02/2009,11:15:24,M37,OFF,nan,nan
750,750,02/02/2009,11:15:25,M42,OFF,nan,nan
751,751,02/02/2009,11:15:25,M38,OFF,nan,nan
752,752,02/02/2009,11:15:25,M44,ON,nan,nan
753,753,02/02/2009,11:15:30,M43,OFF,nan,nan
754,754,02/02/2009,11:15:30,M45,ON,nan,nan
755,755,02/02/2009,11:15:30,M50,ON,nan,nan
756,756,02/02/2009,11:15:31,M44,OFF,nan,nan
757,757,02/02/2009,11:15:35,M45,OFF,nan,nan
758,758,02/02/2009,11:15:35,M49,ON,nan,nan
759,759,02/02/2009,11:15:40,M48,ON,nan,nan
760,760,02/02/2009,11:15:40,M50,OFF,nan,nan
761,761,02/02/2009,11:15:57,M47,ON,nan,nan
762,762,02/02/2009,11:16:00,M46,ON,nan,nan
763,763,02/02/2009,11:16:06,M47,OFF,nan,nan
764,764,02/02/2009,11:16:06,M49,OFF,nan,nan
765,765,02/02/2009,11:16:06,M50,ON,nan,nan
766,766,02/02/2009,11:16:10,M47,ON,nan,nan
767,767,02/02/2009,11:16:10,M50,OFF,nan,nan
768,768,02/02/2009,11:16:14,M48,OFF,nan,nan
769,769,02/02/2009,11:16:18,M48,OFF,nan,nan
770,770,02/02/2009,11:16:19,M46,ON,nan,nan
771,771,02/02/2009,11:16:23,M46,OFF,nan,nan
772,772,02/02/2009,11:16:34,M46,ON,nan,nan
773,773,02/02/2009,11:16:39,M48,ON,nan,nan
774,774,02/02/2009,11:16:39,M46,OFF,nan,nan
775,775,02/02/2009,11:16:44,M46,OFF,nan,nan
776,776,02/02/2009,11:16:49,M46,ON,nan,nan
777,777,02/02/2009,11:16:53,M48,OFF,nan,nan
778,778,02/02/2009,11:16:53,M46,OFF,nan,nan
779,779,02/02/2009,11:16:58,M47,OFF,nan,nan
780,780,02/02/2009,11:16:58,M48,ON,nan,nan
781,781,02/02/2009,11:16:58,M49,ON,nan,nan
782,782,02/02/2009,11:17:07,M49,OFF,R2_Personal_Hygiene,end
3215,3215,02/02/2009,22:24:19,M50,OFF,R2_Personal_Hygiene,begin
3216,3216,02/02/2009,22:24:25,M45,OFF,nan,nan
3217,3217,02/02/2009,22:24:34,M47,OFF,nan,nan
3218,3218,02/02/2009,22:24:37,M50,ON,nan,nan
3219,3219,02/02/2009,22:24:37,M46,OFF,nan,nan
3220,3220,02/02/2009,22:24:50,M43,ON,nan,nan
3221,3221,02/02/2009,22:24:50,M44,ON,nan,nan
3222,3222,02/02/2009,22:24:55,M35,ON,nan,nan
3223,3223,02/02/2009,22:24:55,M37,ON,nan,nan
3224,3224,02/02/2009,22:24:56,M50,OFF,nan,nan
3225,3225,02/02/2009,22:24:56,M44,OFF,nan,nan
3226,3226,02/02/2009,22:24:58,M43,OFF,nan,nan
3227,3227,02/02/2009,22:24:59,M38,ON,nan,nan
3228,3228,02/02/2009,22:25:03,M35,OFF,nan,nan
3229,3229,02/02/2009,22:25:03,M39,ON,nan,nan
3230,3230,02/02/2009,22:25:03,M40,ON,nan,nan
3231,3231,02/02/2009,22:25:09,M37,OFF,nan,nan
3232,3232,02/02/2009,22:25:09,M38,OFF,nan,nan
3233,3233,02/02/2009,22:25:09,M39,OFF,nan,nan
3234,3234,02/02/2009,22:25:13,M40,OFF,nan,nan
3235,3235,02/02/2009,22:25:20,M40,ON,nan,nan
3236,3236,02/02/2009,22:25:28,M40,OFF,nan,nan
3237,3237,02/02/2009,22:25:48,M40,ON,nan,nan
3238,3238,02/02/2009,22:26:04,M38,ON,nan,nan
3239,3239,02/02/2009,22:26:04,M39,ON,nan,nan
3240,3240,02/02/2009,22:26:08,M39,OFF,nan,nan
3241,3241,02/02/2009,22:26:08,M40,OFF,nan,nan
3242,3242,02/02/2009,22:26:13,M37,ON,nan,nan
3243,3243,02/02/2009,22:26:17,M29,ON,nan,nan
3244,3244,02/02/2009,22:26:17,M43,ON,nan,nan
3245,3245,02/02/2009,22:26:18,M42,ON,nan,nan
3246,3246,02/02/2009,22:26:22,M28,ON,nan,nan
3247,3247,02/02/2009,22:26:22,M37,OFF,nan,nan
3248,3248,02/02/2009,22:26:23,M42,OFF,nan,nan
3249,3249,02/02/2009,22:26:23,M38,OFF,nan,nan
3250,3250,02/02/2009,22:26:23,M44,ON,nan,nan
3251,3251,02/02/2009,22:26:27,M28,OFF,nan,nan
3252,3252,02/02/2009,22:26:27,M29,OFF,nan,nan
3253,3253,02/02/2009,22:26:28,M50,ON,nan,nan
3254,3254,02/02/2009,22:26:32,M43,OFF,nan,nan
3255,3255,02/02/2009,22:26:32,M47,ON,nan,nan
3256,3256,02/02/2009,22:26:32,M49,OFF,nan,nan
3257,3257,02/02/2009,22:26:32,M44,OFF,nan,nan
3258,3258,02/02/2009,22:26:32,M46,ON,nan,nan
3259,3259,02/02/2009,22:26:36,M47,OFF,nan,nan
3260,3260,02/02/2009,22:26:36,M50,OFF,nan,nan
3261,3261,02/02/2009,22:26:49,M46,OFF,nan,nan
3262,3262,02/02/2009,22:26:57,M47,ON,nan,nan
3263,3263,02/02/2009,22:26:57,M45,ON,R2_Personal_Hygiene,end
3635,3635,03/02/2009,06:32:54,M48,ON,R2_Personal_Hygiene,begin
3636,3636,03/02/2009,06:32:59,M49,ON,nan,nan
3637,3637,03/02/2009,06:33:03,M46,OFF,nan,nan
3638,3638,03/02/2009,06:33:08,M47,OFF,nan,nan
3639,3639,03/02/2009,06:33:08,M48,OFF,nan,nan
3640,3640,03/02/2009,06:33:08,M49,OFF,nan,nan
3641,3641,03/02/2009,06:33:08,M50,ON,nan,nan
3642,3642,03/02/2009,06:33:09,M44,ON,nan,nan
3643,3643,03/02/2009,06:33:12,M44,OFF,nan,nan
3644,3644,03/02/2009,06:33:17,M44,ON,nan,nan
3645,3645,03/02/2009,06:33:27,M50,OFF,nan,nan
3646,3646,03/02/2009,06:33:27,M44,OFF,nan,nan
3647,3647,03/02/2009,06:33:31,M50,ON,nan,nan
3648,3648,03/02/2009,06:33:31,M44,ON,nan,nan
3649,3649,03/02/2009,06:33:36,M43,ON,nan,nan
3650,3650,03/02/2009,06:33:36,M50,OFF,nan,nan
3651,3651,03/02/2009,06:33:42,M43,OFF,nan,nan
3652,3652,03/02/2009,06:33:42,M37,ON,nan,nan
3653,3653,03/02/2009,06:33:42,M38,OFF,nan,nan
3654,3654,03/02/2009,06:33:42,M44,OFF,nan,nan
3655,3655,03/02/2009,06:33:51,M38,ON,nan,nan
3656,3656,03/02/2009,06:33:56,M37,OFF,nan,nan
3657,3657,03/02/2009,06:34:00,M37,ON,nan,nan
