,Unnamed: 0,date,time,type,state,location,BE
261,261,02/02/2009,07:47:19,M19,ON,Meal_Preparation,begin
262,262,02/02/2009,07:47:21,M24,OFF,nan,nan
263,263,02/02/2009,07:47:21,M18,ON,nan,nan
264,264,02/02/2009,07:47:21,M21,OFF,nan,nan
265,265,02/02/2009,07:47:24,M19,OFF,nan,nan
266,266,02/02/2009,07:47:25,M19,OFF,nan,nan
267,267,02/02/2009,07:47:33,M18,OFF,nan,nan
268,268,02/02/2009,07:47:36,M18,ON,nan,nan
269,269,02/02/2009,07:47:36,M17,ON,nan,nan
270,270,02/02/2009,07:47:39,M17,OFF,nan,nan
271,271,02/02/2009,07:47:42,M17,ON,nan,nan
272,272,02/02/2009,07:47:45,M18,OFF,nan,nan
273,273,02/02/2009,07:47:46,M17,OFF,nan,nan
274,274,02/02/2009,07:47:55,M16,ON,nan,nan
275,275,02/02/2009,07:47:57,M17,ON,nan,nan
276,276,02/02/2009,07:47:58,M16,OFF,nan,nan
277,277,02/02/2009,07:48:07,M16,ON,nan,nan
278,278,02/02/2009,07:48:09,M17,OFF,nan,nan
279,279,02/02/2009,07:48:10,M16,ON,nan,nan
280,280,02/02/2009,07:48:11,AD1-A,2.82754,nan,nan
281,281,02/02/2009,07:48:13,M17,ON,nan,nan
282,282,02/02/2009,07:48:15,M16,OFF,nan,nan
283,283,02/02/2009,07:48:17,AD1-A,2.7977,nan,nan
284,284,02/02/2009,07:48:24,M17,OFF,nan,nan
285,285,02/02/2009,07:48:33,M17,ON,nan,nan
286,286,02/02/2009,07:48:42,M16,ON,nan,nan
287,287,02/02/2009,07:48:45,M17,OFF,nan,nan
288,288,02/02/2009,07:49:11,M17,OFF,nan,nan
289,289,02/02/2009,07:49:11,M16,OFF,nan,nan
290,290,02/02/2009,07:49:24,M17,ON,nan,nan
291,291,02/02/2009,07:49:27,M16,ON,nan,nan
292,292,02/02/2009,07:49:28,M15,ON,nan,nan
293,293,02/02/2009,07:49:32,M16,OFF,nan,nan
294,294,02/02/2009,07:49:34,M15,OFF,nan,nan
295,295,02/02/2009,07:49:34,M18,ON,nan,nan
296,296,02/02/2009,07:49:37,M18,OFF,nan,nan
297,297,02/02/2009,07:49:43,M16,ON,nan,nan
298,298,02/02/2009,07:49:43,D09,OPEN,nan,nan
299,299,02/02/2009,07:49:44,M17,OFF,nan,nan
300,300,02/02/2009,07:49:45,M17,ON,nan,nan
301,301,02/02/2009,07:49:46,M17,ON,nan,nan
302,302,02/02/2009,07:49:46,D09,CLOSE,nan,nan
303,303,02/02/2009,07:49:47,M16,OFF,nan,nan
304,304,02/02/2009,07:49:48,AD1-A,2.81895,nan,nan
305,305,02/02/2009,07:49:50,AD1-A,2.79606,nan,nan
306,306,02/02/2009,07:49:52,M17,OFF,nan,nan
307,307,02/02/2009,07:49:52,M17,ON,nan,nan
308,308,02/02/2009,07:49:53,M17,ON,nan,nan
309,309,02/02/2009,07:49:55,M17,ON,nan,nan
310,310,02/02/2009,07:49:56,D09,OPEN,nan,nan
311,311,02/02/2009,07:49:59,M17,OFF,nan,nan
312,312,02/02/2009,07:50:01,M16,ON,nan,nan
313,313,02/02/2009,07:50:02,M17,ON,nan,nan
314,314,02/02/2009,07:50:02,D09,CLOSE,nan,nan
315,315,02/02/2009,07:50:04,M16,OFF,nan,nan
316,316,02/02/2009,07:50:07,M17,OFF,nan,nan
317,317,02/02/2009,07:50:08,M17,ON,nan,nan
318,318,02/02/2009,07:50:09,M17,ON,nan,nan
319,319,02/02/2009,07:50:11,M16,ON,nan,nan
320,320,02/02/2009,07:50:11,M15,ON,nan,nan
321,321,02/02/2009,07:50:13,M14,ON,nan,nan
322,322,02/02/2009,07:50:14,M16,OFF,nan,nan
323,323,02/02/2009,07:50:14,M17,OFF,nan,nan
324,324,02/02/2009,07:50:16,M14,OFF,nan,nan
325,325,02/02/2009,07:50:16,M15,OFF,nan,nan
326,326,02/02/2009,07:50:16,M13,ON,nan,nan
327,327,02/02/2009,07:50:17,M14,ON,nan,nan
328,328,02/02/2009,07:50:19,M15,ON,nan,nan
329,329,02/02/2009,07:50:19,M13,OFF,nan,nan
330,330,02/02/2009,07:50:19,M16,ON,nan,nan
331,331,02/02/2009,07:50:23,M14,OFF,nan,nan
332,332,02/02/2009,07:50:24,M17,ON,nan,nan
