,Unnamed: 0,date,time,type,state,location,BE
3168,3168,02/02/2009,22:10:55,M36,ON,R1_Sleep,begin
3169,3169,02/02/2009,22:11:00,M32,ON,nan,nan
3170,3170,02/02/2009,22:11:00,M36,OFF,nan,nan
3171,3171,02/02/2009,22:11:02,M35,OFF,nan,nan
3172,3172,02/02/2009,22:11:03,M33,ON,nan,nan
3173,3173,02/02/2009,22:11:05,M32,OFF,nan,nan
3174,3174,02/02/2009,22:11:09,M33,OFF,nan,nan
3175,3175,02/02/2009,22:11:23,M33,ON,nan,nan
3176,3176,02/02/2009,22:11:27,M33,OFF,nan,nan
3177,3177,02/02/2009,22:12:06,M33,ON,nan,nan
3178,3178,02/02/2009,22:12:11,M33,OFF,nan,nan
3179,3179,02/02/2009,22:12:27,M33,ON,nan,nan
3180,3180,02/02/2009,22:12:33,M33,OFF,nan,nan
3181,3181,02/02/2009,22:12:54,M33,ON,nan,nan
3182,3182,02/02/2009,22:12:58,M33,OFF,nan,nan
3183,3183,02/02/2009,22:14:19,M32,ON,nan,nan
3184,3184,02/02/2009,22:14:27,M35,ON,nan,nan
3185,3185,02/02/2009,22:14:27,M32,OFF,nan,nan
3186,3186,02/02/2009,22:14:32,M34,ON,nan,nan
3187,3187,02/02/2009,22:14:37,M34,OFF,nan,nan
3188,3188,02/02/2009,22:14:37,M35,OFF,nan,nan
3189,3189,02/02/2009,22:14:47,M34,ON,nan,nan
3190,3190,02/02/2009,22:14:51,M34,OFF,nan,nan
3191,3191,02/02/2009,22:15:16,M34,ON,nan,nan
3192,3192,02/02/2009,22:15:20,M34,OFF,nan,nan
3193,3193,02/02/2009,22:15:38,M34,ON,nan,nan
3194,3194,02/02/2009,22:15:43,M34,OFF,nan,nan
3195,3195,02/02/2009,22:16:23,AD1-A,2.81848,nan,nan
3196,3196,02/02/2009,22:19:00,M34,ON,nan,nan
3197,3197,02/02/2009,22:19:03,M34,OFF,nan,nan
3198,3198,02/02/2009,22:19:15,M34,ON,nan,nan
3199,3199,02/02/2009,22:19:21,M34,OFF,nan,nan
3200,3200,02/02/2009,22:19:52,AD1-A,2.79793,nan,nan
3201,3201,02/02/2009,22:21:20,M34,ON,nan,nan
3202,3202,02/02/2009,22:21:24,M34,OFF,nan,nan
3203,3203,02/02/2009,22:21:27,M34,ON,nan,nan
3204,3204,02/02/2009,22:21:32,M34,OFF,nan,nan
3205,3205,02/02/2009,22:21:41,M34,ON,nan,nan
3206,3206,02/02/2009,22:21:41,M35,ON,nan,nan
3207,3207,02/02/2009,22:21:57,M35,OFF,nan,nan
3208,3208,02/02/2009,22:22:02,M34,OFF,nan,nan
3209,3209,02/02/2009,22:22:28,M35,OFF,nan,nan
3210,3210,02/02/2009,22:23:13,M35,ON,nan,nan
3211,3211,02/02/2009,22:23:18,M35,OFF,nan,nan
3212,3212,02/02/2009,22:23:32,M35,ON,nan,nan
3213,3213,02/02/2009,22:23:36,M35,OFF,nan,nan
3214,3214,02/02/2009,22:23:48,M35,OFF,nan,nan
3215,3215,02/02/2009,22:24:19,M50,OFF,R2_Personal_Hygiene,begin
3216,3216,02/02/2009,22:24:25,M45,OFF,nan,nan
3217,3217,02/02/2009,22:24:34,M47,OFF,nan,nan
3218,3218,02/02/2009,22:24:37,M50,ON,nan,nan
3219,3219,02/02/2009,22:24:37,M46,OFF,nan,nan
3220,3220,02/02/2009,22:24:50,M43,ON,nan,nan
3221,3221,02/02/2009,22:24:50,M44,ON,nan,nan
