,Unnamed: 0,date,time,type,state,location,BE
3275,3275,02/02/2009,22:29:19,M45,OFF,R2_Sleep,begin
3276,3276,02/02/2009,22:29:23,M47,ON,nan,nan
3277,3277,02/02/2009,22:29:23,M46,ON,nan,nan
3278,3278,02/02/2009,22:29:28,M35,OFF,nan,nan
3279,3279,02/02/2009,22:29:28,M47,OFF,nan,nan
3280,3280,02/02/2009,22:29:28,M45,ON,nan,nan
3281,3281,02/02/2009,22:29:36,M46,OFF,nan,nan
3282,3282,02/02/2009,22:29:39,M50,ON,nan,nan
3283,3283,02/02/2009,22:29:43,M45,OFF,nan,nan
3284,3284,02/02/2009,22:29:48,M49,ON,nan,nan
3285,3285,02/02/2009,22:29:52,M47,ON,nan,nan
3286,3286,02/02/2009,22:29:53,M48,ON,nan,nan
3287,3287,02/02/2009,22:29:53,M49,OFF,nan,nan
3288,3288,02/02/2009,22:29:53,M50,OFF,nan,nan
3289,3289,02/02/2009,22:29:59,M47,OFF,nan,nan
3290,3290,02/02/2009,22:29:59,M48,OFF,nan,nan
3291,3291,02/02/2009,22:30:03,M34,ON,nan,nan
3292,3292,02/02/2009,22:30:03,M35,ON,nan,nan
3293,3293,02/02/2009,22:30:03,M47,ON,nan,nan
3294,3294,02/02/2009,22:30:03,M48,ON,nan,nan
3295,3295,02/02/2009,22:30:08,M34,OFF,nan,nan
3296,3296,02/02/2009,22:30:08,M35,OFF,nan,nan
3297,3297,02/02/2009,22:30:08,M46,OFF,nan,nan
3298,3298,02/02/2009,22:30:12,M47,OFF,nan,nan
3299,3299,02/02/2009,22:30:17,M48,OFF,nan,nan
3300,3300,02/02/2009,22:30:30,M48,ON,nan,nan
3301,3301,02/02/2009,22:30:33,M49,ON,nan,nan
3302,3302,02/02/2009,22:30:37,M49,OFF,nan,nan
3303,3303,02/02/2009,22:30:42,M48,OFF,nan,nan
3304,3304,02/02/2009,22:30:45,M48,ON,nan,nan
3305,3305,02/02/2009,22:30:50,M48,OFF,nan,nan
3306,3306,02/02/2009,22:30:55,M48,ON,nan,nan
3307,3307,02/02/2009,22:31:19,M48,OFF,nan,nan
3308,3308,02/02/2009,22:31:33,M47,ON,nan,nan
3309,3309,02/02/2009,22:31:34,M48,ON,nan,nan
3310,3310,02/02/2009,22:31:36,M47,OFF,nan,nan
3311,3311,02/02/2009,22:31:37,M48,OFF,nan,nan
3312,3312,02/02/2009,22:33:30,M35,ON,nan,nan
3313,3313,02/02/2009,22:33:34,M35,OFF,nan,nan
3314,3314,02/02/2009,22:35:06,M34,ON,nan,nan
3315,3315,02/02/2009,22:35:06,M35,ON,nan,nan
3316,3316,02/02/2009,22:35:07,M48,ON,nan,nan
3317,3317,02/02/2009,22:35:10,M34,OFF,nan,nan
3318,3318,02/02/2009,22:35:10,M35,OFF,nan,nan
3319,3319,02/02/2009,22:35:11,M48,OFF,nan,nan
3320,3320,02/02/2009,22:35:37,M34,ON,nan,nan
3321,3321,02/02/2009,22:35:37,M35,ON,nan,nan
3322,3322,02/02/2009,22:35:40,M35,OFF,nan,nan
3323,3323,02/02/2009,22:35:48,M35,ON,nan,nan
3324,3324,02/02/2009,22:35:52,M34,OFF,nan,nan
3325,3325,02/02/2009,22:35:53,M35,OFF,nan,nan
3326,3326,02/02/2009,22:36:27,M48,ON,nan,nan
3327,3327,02/02/2009,22:36:30,M48,OFF,nan,nan
3328,3328,02/02/2009,22:36:34,M48,ON,nan,nan
3329,3329,02/02/2009,22:36:36,M48,OFF,nan,nan
3330,3330,02/02/2009,22:37:10,M48,ON,nan,nan
3331,3331,02/02/2009,22:37:14,M48,OFF,nan,nan
3332,3332,02/02/2009,22:38:47,M47,ON,nan,nan
3333,3333,02/02/2009,22:38:50,M47,OFF,nan,nan
3334,3334,02/02/2009,22:40:52,M47,ON,nan,nan
3335,3335,02/02/2009,22:40:57,M47,OFF,nan,nan
3336,3336,02/02/2009,22:42:06,M48,ON,nan,nan
3337,3337,02/02/2009,22:42:12,M48,OFF,nan,nan
3338,3338,02/02/2009,22:44:49,M47,ON,nan,nan
3339,3339,02/02/2009,22:44:49,M48,ON,nan,nan
3340,3340,02/02/2009,22:44:52,M47,OFF,nan,nan
3341,3341,02/02/2009,22:44:57,M48,OFF,nan,nan
3342,3342,02/02/2009,22:46:59,M48,ON,nan,nan
3343,3343,02/02/2009,22:47:03,M48,OFF,nan,nan
3344,3344,02/02/2009,22:47:07,M48,ON,nan,nan
3345,3345,02/02/2009,22:47:09,M48,OFF,nan,nan
3346,3346,02/02/2009,22:47:24,M48,ON,nan,nan
3347,3347,02/02/2009,22:47:27,M48,OFF,nan,nan
3348,3348,02/02/2009,22:47:33,M48,ON,nan,nan
3349,3349,02/02/2009,22:47:42,M48,OFF,nan,nan
3350,3350,02/02/2009,22:53:24,M48,ON,nan,nan
3351,3351,02/02/2009,22:53:28,M48,OFF,nan,nan
3352,3352,02/02/2009,22:53:38,M48,ON,nan,nan
3353,3353,02/02/2009,22:53:42,M48,OFF,nan,nan
3354,3354,02/02/2009,22:55:08,M47,ON,nan,nan
3355,3355,02/02/2009,22:55:08,M48,ON,nan,nan
3356,3356,02/02/2009,22:55:08,M49,ON,nan,nan
3357,3357,02/02/2009,22:55:09,M46,ON,nan,nan
3358,3358,02/02/2009,22:55:13,M47,OFF,nan,nan
3359,3359,02/02/2009,22:55:13,M49,OFF,nan,nan
3360,3360,02/02/2009,22:55:14,M46,OFF,nan,nan
3361,3361,02/02/2009,22:55:19,M49,ON,nan,nan
3362,3362,02/02/2009,22:55:24,M47,ON,nan,nan
3363,3363,02/02/2009,22:55:28,M47,OFF,nan,nan
3364,3364,02/02/2009,22:55:28,M49,OFF,nan,nan
3365,3365,02/02/2009,22:55:36,M48,OFF,nan,nan
3366,3366,02/02/2009,22:57:08,M48,ON,nan,nan
3367,3367,02/02/2009,22:57:13,M48,OFF,nan,nan
3368,3368,02/02/2009,22:57:21,M48,ON,nan,nan
3369,3369,02/02/2009,22:57:22,M49,ON,nan,nan
3370,3370,02/02/2009,22:57:26,M49,OFF,nan,nan
3371,3371,02/02/2009,22:57:29,M48,OFF,nan,nan
3372,3372,02/02/2009,23:00:18,M48,ON,nan,nan
3373,3373,02/02/2009,23:00:23,M48,OFF,nan,nan
3374,3374,02/02/2009,23:05:20,M35,ON,nan,nan
3375,3375,02/02/2009,23:05:26,M35,OFF,nan,nan
3376,3376,02/02/2009,23:05:51,M35,ON,nan,nan
3377,3377,02/02/2009,23:05:55,M35,OFF,nan,nan
3378,3378,02/02/2009,23:07:10,M48,ON,nan,nan
3379,3379,02/02/2009,23:07:31,M48,OFF,nan,nan
3380,3380,02/02/2009,23:07:36,M48,ON,nan,nan
3381,3381,02/02/2009,23:07:44,M48,OFF,nan,nan
3382,3382,02/02/2009,23:10:00,M48,ON,nan,nan
3383,3383,02/02/2009,23:10:04,M48,OFF,nan,nan
3384,3384,02/02/2009,23:12:44,M48,ON,nan,nan
3385,3385,02/02/2009,23:12:51,M48,OFF,nan,nan
3386,3386,02/02/2009,23:30:45,M35,ON,nan,nan
3387,3387,02/02/2009,23:30:53,M35,OFF,nan,nan
3388,3388,02/02/2009,23:40:08,M34,ON,nan,nan
3389,3389,02/02/2009,23:40:15,M34,OFF,nan,nan
