,Unnamed: 0,date,time,type,state,location,BE
15664,15664,06/02/2009,20:01:30,M13,OFF,Study,begin
15665,15665,06/02/2009,20:01:32,M31,OFF,R1_Work,begin
15666,15666,06/02/2009,20:01:40,M31,ON,nan,nan
15667,15667,06/02/2009,20:01:44,M31,OFF,nan,nan
15668,15668,06/02/2009,20:01:45,M13,ON,nan,nan
15669,15669,06/02/2009,20:01:49,M13,OFF,nan,nan
15670,15670,06/02/2009,20:02:14,M31,ON,nan,nan
15671,15671,06/02/2009,20:02:21,M13,ON,nan,nan
15672,15672,06/02/2009,20:02:21,M31,OFF,nan,nan
15673,15673,06/02/2009,20:02:23,M13,OFF,nan,nan
15674,15674,06/02/2009,20:02:23,M31,ON,nan,nan
15675,15675,06/02/2009,20:02:29,M31,OFF,nan,nan
15676,15676,06/02/2009,20:02:43,M13,ON,nan,nan
15677,15677,06/02/2009,20:02:46,M13,OFF,nan,nan
15678,15678,06/02/2009,20:03:01,M13,ON,nan,nan
15679,15679,06/02/2009,20:03:12,M13,OFF,nan,nan
15680,15680,06/02/2009,20:03:19,M13,ON,nan,nan
15681,15681,06/02/2009,20:03:27,M13,OFF,nan,nan
15682,15682,06/02/2009,20:03:34,M31,ON,nan,nan
15683,15683,06/02/2009,20:03:37,M13,ON,nan,nan
15684,15684,06/02/2009,20:03:38,M31,OFF,nan,nan
15685,15685,06/02/2009,20:03:40,M31,ON,nan,nan
15686,15686,06/02/2009,20:03:40,M31,OFF,nan,nan
15687,15687,06/02/2009,20:03:43,M13,OFF,nan,nan
15688,15688,06/02/2009,20:03:47,M14,ON,nan,nan
15689,15689,06/02/2009,20:03:49,M14,OFF,nan,nan
15690,15690,06/02/2009,20:03:49,M13,ON,nan,nan
15691,15691,06/02/2009,20:03:52,M13,OFF,nan,nan
15692,15692,06/02/2009,20:03:55,M13,ON,nan,nan
15693,15693,06/02/2009,20:04:02,M14,ON,nan,nan
15694,15694,06/02/2009,20:04:05,M15,ON,nan,nan
15695,15695,06/02/2009,20:04:07,M16,ON,nan,nan
15696,15696,06/02/2009,20:04:07,M13,OFF,nan,nan
15697,15697,06/02/2009,20:04:08,M17,ON,nan,nan
15698,15698,06/02/2009,20:04:10,M14,OFF,nan,nan
15699,15699,06/02/2009,20:04:10,M15,OFF,nan,nan
15700,15700,06/02/2009,20:04:10,M18,ON,nan,nan
15701,15701,06/02/2009,20:04:10,M16,OFF,nan,nan
15702,15702,06/02/2009,20:04:13,M17,OFF,nan,nan
15703,15703,06/02/2009,20:04:13,M19,ON,nan,nan
15704,15704,06/02/2009,20:04:15,M19,OFF,nan,nan
15705,15705,06/02/2009,20:04:16,M18,ON,nan,nan
15706,15706,06/02/2009,20:04:16,M19,ON,nan,nan
15707,15707,06/02/2009,20:04:18,M19,OFF,nan,nan
15708,15708,06/02/2009,20:04:22,M18,OFF,nan,nan
15709,15709,06/02/2009,20:04:23,M18,ON,nan,nan
15710,15710,06/02/2009,20:04:27,M17,ON,nan,nan
15711,15711,06/02/2009,20:04:29,D15,OPEN,nan,nan
15712,15712,06/02/2009,20:04:31,M17,OFF,nan,nan
15713,15713,06/02/2009,20:04:34,M17,ON,nan,nan
15714,15714,06/02/2009,20:04:35,M31,ON,nan,nan
15715,15715,06/02/2009,20:04:36,M17,OFF,nan,nan
15716,15716,06/02/2009,20:04:37,M18,OFF,nan,nan
15717,15717,06/02/2009,20:04:38,M31,OFF,nan,nan
15718,15718,06/02/2009,20:04:41,M18,ON,nan,nan
15719,15719,06/02/2009,20:04:43,M18,OFF,nan,nan
15720,15720,06/02/2009,20:04:46,M18,ON,nan,nan
15721,15721,06/02/2009,20:04:49,M18,OFF,nan,nan
15722,15722,06/02/2009,20:04:52,M18,ON,nan,nan
15723,15723,06/02/2009,20:04:59,M18,OFF,nan,nan
15724,15724,06/02/2009,20:05:01,M18,ON,nan,nan
15725,15725,06/02/2009,20:05:07,M17,ON,nan,nan
15726,15726,06/02/2009,20:05:10,M16,ON,nan,nan
15727,15727,06/02/2009,20:05:10,M17,OFF,nan,nan
15728,15728,06/02/2009,20:05:11,M18,OFF,nan,nan
15729,15729,06/02/2009,20:05:18,M31,ON,nan,nan
15730,15730,06/02/2009,20:05:19,M31,OFF,nan,nan
15731,15731,06/02/2009,20:05:26,M17,ON,nan,nan
15732,15732,06/02/2009,20:05:28,M18,ON,nan,nan
15733,15733,06/02/2009,20:05:29,D15,CLOSE,nan,nan
15734,15734,06/02/2009,20:05:29,M16,OFF,nan,nan
15735,15735,06/02/2009,20:05:31,M17,OFF,nan,nan
15736,15736,06/02/2009,20:05:34,M17,ON,nan,nan
15737,15737,06/02/2009,20:05:37,D09,OPEN,nan,nan
15738,15738,06/02/2009,20:05:38,M17,ON,nan,nan
15739,15739,06/02/2009,20:05:40,M16,ON,nan,nan
15740,15740,06/02/2009,20:05:40,M31,ON,nan,nan
15741,15741,06/02/2009,20:05:40,M18,OFF,nan,nan
15742,15742,06/02/2009,20:05:40,M17,OFF,nan,nan
15743,15743,06/02/2009,20:05:41,M17,ON,nan,nan
15744,15744,06/02/2009,20:05:43,M31,OFF,nan,nan
15745,15745,06/02/2009,20:05:44,M17,OFF,nan,nan
15746,15746,06/02/2009,20:05:44,M16,OFF,nan,nan
15747,15747,06/02/2009,20:05:46,D09,CLOSE,nan,nan
15748,15748,06/02/2009,20:05:48,M17,ON,nan,nan
15749,15749,06/02/2009,20:05:49,D09,OPEN,nan,nan
15750,15750,06/02/2009,20:05:50,M16,ON,nan,nan
15751,15751,06/02/2009,20:05:53,D09,CLOSE,nan,nan
15752,15752,06/02/2009,20:05:55,M16,OFF,nan,nan
15753,15753,06/02/2009,20:05:56,M16,ON,nan,nan
15754,15754,06/02/2009,20:05:56,M15,ON,nan,nan
15755,15755,06/02/2009,20:05:58,M14,ON,nan,nan
15756,15756,06/02/2009,20:05:58,M17,OFF,nan,nan
15757,15757,06/02/2009,20:05:58,M16,OFF,nan,nan
15758,15758,06/02/2009,20:06:01,M13,ON,nan,nan
15759,15759,06/02/2009,20:06:01,M15,OFF,nan,nan
15760,15760,06/02/2009,20:06:04,M14,OFF,nan,nan
15761,15761,06/02/2009,20:06:10,M13,OFF,nan,nan
15762,15762,06/02/2009,20:06:19,M13,ON,nan,nan
15763,15763,06/02/2009,20:06:22,M13,OFF,nan,nan
15764,15764,06/02/2009,20:06:23,M13,ON,nan,nan
15765,15765,06/02/2009,20:06:25,M31,ON,nan,nan
15766,15766,06/02/2009,20:06:27,M13,OFF,nan,nan
15767,15767,06/02/2009,20:06:28,M31,OFF,nan,nan
15768,15768,06/02/2009,20:06:29,M31,ON,nan,nan
15769,15769,06/02/2009,20:06:32,M13,ON,nan,nan
15770,15770,06/02/2009,20:06:34,M31,OFF,nan,nan
15771,15771,06/02/2009,20:06:34,M13,OFF,nan,nan
15772,15772,06/02/2009,20:06:43,M13,ON,nan,nan
15773,15773,06/02/2009,20:06:44,M13,OFF,nan,nan
15774,15774,06/02/2009,20:06:51,M13,ON,nan,nan
15775,15775,06/02/2009,20:06:55,M13,OFF,nan,nan
15776,15776,06/02/2009,20:07:00,M13,ON,nan,nan
15777,15777,06/02/2009,20:07:04,M13,OFF,nan,nan
15778,15778,06/02/2009,20:07:07,M13,ON,nan,nan
15779,15779,06/02/2009,20:07:07,M31,ON,nan,nan
15780,15780,06/02/2009,20:07:08,M31,OFF,nan,nan
15781,15781,06/02/2009,20:07:13,M13,OFF,nan,nan
15782,15782,06/02/2009,20:07:14,M13,ON,nan,nan
15783,15783,06/02/2009,20:07:19,M13,OFF,nan,nan
15784,15784,06/02/2009,20:07:20,M31,ON,nan,nan
15785,15785,06/02/2009,20:07:21,M31,OFF,nan,nan
15786,15786,06/02/2009,20:07:29,M13,ON,nan,nan
