,Unnamed: 0,date,time,type,state,location,BE
783,783,02/02/2009,11:41:34,M07,ON,Watch_TV,begin
784,784,02/02/2009,11:41:34,M09,ON,nan,nan
785,785,02/02/2009,11:41:34,D09,CLOSE,nan,nan
786,786,02/02/2009,11:41:35,M15,OFF,nan,nan
787,787,02/02/2009,11:41:40,M07,OFF,nan,nan
788,788,02/02/2009,11:41:40,M09,OFF,nan,nan
789,789,02/02/2009,11:41:41,I03,ABSENT,nan,nan
790,790,02/02/2009,11:42:45,M07,ON,nan,nan
791,791,02/02/2009,11:42:46,M09,OFF,nan,nan
792,792,02/02/2009,11:42:46,M15,OFF,nan,nan
793,793,02/02/2009,11:42:55,M07,OFF,nan,nan
794,794,02/02/2009,11:44:16,M07,ON,nan,nan
795,795,02/02/2009,11:44:19,M07,OFF,nan,nan
796,796,02/02/2009,11:44:19,M06,ON,nan,nan
797,797,02/02/2009,11:44:23,M07,ON,nan,nan
798,798,02/02/2009,11:44:24,M06,OFF,nan,nan
799,799,02/02/2009,11:44:29,M07,OFF,nan,nan
800,800,02/02/2009,11:45:08,M06,ON,nan,nan
801,801,02/02/2009,11:45:12,M06,OFF,nan,nan
802,802,02/02/2009,11:45:40,M07,ON,nan,nan
803,803,02/02/2009,11:45:45,M07,OFF,nan,nan
804,804,02/02/2009,11:46:30,M06,ON,nan,nan
805,805,02/02/2009,11:46:36,M06,OFF,nan,nan
806,806,02/02/2009,11:46:40,M06,ON,nan,nan
807,807,02/02/2009,11:46:45,M06,OFF,nan,nan
808,808,02/02/2009,11:47:42,M06,ON,nan,nan
809,809,02/02/2009,11:47:47,M06,OFF,nan,nan
810,810,02/02/2009,11:49:56,M06,ON,nan,nan
811,811,02/02/2009,11:50:00,M06,OFF,nan,nan
812,812,02/02/2009,11:51:31,M06,ON,nan,nan
813,813,02/02/2009,11:51:38,M08,ON,nan,nan
814,814,02/02/2009,11:51:38,M07,ON,nan,nan
815,815,02/02/2009,11:51:38,M06,OFF,nan,nan
816,816,02/02/2009,11:51:43,M08,OFF,nan,nan
817,817,02/02/2009,11:51:43,M17,ON,nan,nan
818,818,02/02/2009,11:51:43,M07,OFF,nan,nan
819,819,02/02/2009,11:51:44,M15,OFF,nan,nan
820,820,02/02/2009,11:51:49,M17,OFF,nan,nan
821,821,02/02/2009,11:52:08,M17,ON,nan,nan
822,822,02/02/2009,11:52:13,M08,ON,nan,nan
823,823,02/02/2009,11:52:13,M17,OFF,nan,nan
824,824,02/02/2009,11:52:14,M16,ON,nan,nan
825,825,02/02/2009,11:52:14,M09,ON,nan,nan
826,826,02/02/2009,11:52:14,M15,ON,nan,nan
827,827,02/02/2009,11:52:19,M08,OFF,nan,nan
828,828,02/02/2009,11:52:19,M16,OFF,nan,nan
829,829,02/02/2009,11:52:19,M06,ON,nan,nan
830,830,02/02/2009,11:52:19,M09,OFF,nan,nan
831,831,02/02/2009,11:52:19,M15,OFF,nan,nan
832,832,02/02/2009,11:52:24,M06,OFF,nan,nan
833,833,02/02/2009,11:52:59,M06,ON,nan,nan
834,834,02/02/2009,11:53:04,M06,OFF,nan,nan
835,835,02/02/2009,11:53:18,M07,ON,nan,nan
836,836,02/02/2009,11:53:18,M06,ON,nan,nan
837,837,02/02/2009,11:53:23,M07,OFF,nan,nan
838,838,02/02/2009,11:53:23,M06,OFF,nan,nan
839,839,02/02/2009,11:54:33,M06,ON,nan,nan
840,840,02/02/2009,11:54:38,M06,OFF,nan,nan
841,841,02/02/2009,11:58:04,M06,ON,nan,nan
842,842,02/02/2009,11:58:08,M06,OFF,nan,nan
843,843,02/02/2009,11:58:11,M07,ON,nan,nan
844,844,02/02/2009,11:58:16,M17,ON,nan,nan
845,845,02/02/2009,11:58:16,M16,ON,nan,nan
846,846,02/02/2009,11:58:17,M07,OFF,nan,nan
847,847,02/02/2009,11:58:17,M15,ON,nan,nan
848,848,02/02/2009,11:58:22,M17,OFF,nan,nan
849,849,02/02/2009,11:58:22,M51,ON,nan,nan
850,850,02/02/2009,11:58:22,M16,OFF,nan,nan
851,851,02/02/2009,11:58:22,M15,OFF,nan,nan
852,852,02/02/2009,11:58:23,M18,ON,nan,nan
853,853,02/02/2009,11:58:27,M51,OFF,nan,nan
854,854,02/02/2009,11:58:27,M18,OFF,nan,nan
855,855,02/02/2009,12:00:14,M07,ON,nan,nan
856,856,02/02/2009,12:00:18,M06,ON,nan,nan
857,857,02/02/2009,12:00:18,M07,OFF,nan,nan
858,858,02/02/2009,12:00:21,M06,OFF,nan,nan
859,859,02/02/2009,12:00:23,M06,ON,nan,nan
860,860,02/02/2009,12:00:29,M06,OFF,nan,nan
861,861,02/02/2009,12:00:42,M07,ON,nan,nan
862,862,02/02/2009,12:00:45,M07,OFF,nan,nan
863,863,02/02/2009,12:02:59,M06,ON,nan,nan
864,864,02/02/2009,12:03:03,M06,OFF,nan,nan
865,865,02/02/2009,12:04:10,M06,ON,nan,nan
866,866,02/02/2009,12:04:13,M06,OFF,nan,nan
867,867,02/02/2009,12:04:16,M06,ON,nan,nan
868,868,02/02/2009,12:04:18,M06,OFF,nan,nan
869,869,02/02/2009,12:06:03,M06,ON,nan,nan
870,870,02/02/2009,12:06:12,M06,OFF,nan,nan
871,871,02/02/2009,12:07:22,M07,ON,nan,nan
872,872,02/02/2009,12:07:24,M07,OFF,nan,nan
873,873,02/02/2009,12:08:43,M07,ON,nan,nan
874,874,02/02/2009,12:08:43,M06,ON,nan,nan
875,875,02/02/2009,12:08:46,M07,OFF,nan,nan
876,876,02/02/2009,12:08:46,M06,OFF,nan,nan
877,877,02/02/2009,12:09:02,M09,ON,nan,nan
878,878,02/02/2009,12:09:04,M09,OFF,nan,nan
879,879,02/02/2009,12:09:34,M09,ON,nan,nan
880,880,02/02/2009,12:09:35,M09,OFF,nan,nan
881,881,02/02/2009,12:10:02,M09,ON,nan,nan
882,882,02/02/2009,12:10:06,M09,OFF,nan,nan
883,883,02/02/2009,12:10:36,M09,ON,nan,nan
884,884,02/02/2009,12:10:39,M09,OFF,nan,nan
885,885,02/02/2009,12:10:40,AD1-A,2.792,nan,nan
