,Unnamed: 0,date,time,type,state,location,BE
1002,1002,02/02/2009,14:29:03,M32,ON,R1_Work,begin
1003,1003,02/02/2009,14:29:04,M36,OFF,nan,nan
1004,1004,02/02/2009,14:29:08,M35,OFF,nan,nan
1005,1005,02/02/2009,14:29:14,M32,OFF,nan,nan
1006,1006,02/02/2009,14:29:14,M31,ON,nan,nan
1007,1007,02/02/2009,14:29:14,M36,OFF,nan,nan
1008,1008,02/02/2009,14:29:17,M31,OFF,nan,nan
1009,1009,02/02/2009,14:29:22,M31,ON,nan,nan
1010,1010,02/02/2009,14:29:29,M31,ON,nan,nan
1011,1011,02/02/2009,14:29:49,M31,OFF,nan,nan
1012,1012,02/02/2009,14:29:52,M31,ON,nan,nan
1013,1013,02/02/2009,14:29:56,M31,OFF,nan,nan
1014,1014,02/02/2009,14:30:02,M31,ON,nan,nan
1015,1015,02/02/2009,14:30:08,M31,OFF,nan,nan
1016,1016,02/02/2009,14:30:19,M31,ON,nan,nan
1017,1017,02/02/2009,14:30:27,M31,OFF,nan,nan
1018,1018,02/02/2009,14:30:32,M31,ON,nan,nan
1019,1019,02/02/2009,14:30:37,M31,OFF,nan,nan
1020,1020,02/02/2009,14:30:46,M31,ON,nan,nan
1021,1021,02/02/2009,14:30:50,M31,OFF,nan,nan
1022,1022,02/02/2009,14:31:41,M31,ON,nan,nan
1023,1023,02/02/2009,14:31:49,M31,OFF,nan,nan
1024,1024,02/02/2009,14:32:33,M31,ON,nan,nan
1025,1025,02/02/2009,14:32:52,M31,OFF,nan,nan
1026,1026,02/02/2009,14:33:01,M31,ON,nan,nan
1027,1027,02/02/2009,14:33:06,M31,OFF,nan,nan
1028,1028,02/02/2009,14:33:21,M31,ON,nan,nan
1029,1029,02/02/2009,14:33:26,M31,OFF,nan,nan
1030,1030,02/02/2009,14:33:30,M31,ON,nan,nan
1031,1031,02/02/2009,14:33:34,M31,OFF,nan,nan
1032,1032,02/02/2009,14:33:40,M31,ON,nan,nan
1033,1033,02/02/2009,14:33:44,M31,OFF,nan,nan
1034,1034,02/02/2009,14:33:51,M31,ON,nan,nan
1035,1035,02/02/2009,14:33:56,M31,OFF,nan,nan
1036,1036,02/02/2009,14:34:30,M31,ON,nan,nan
1037,1037,02/02/2009,14:34:35,M31,OFF,nan,nan
1038,1038,02/02/2009,14:35:04,M31,ON,nan,nan
1039,1039,02/02/2009,14:35:07,M31,OFF,nan,nan
1040,1040,02/02/2009,14:35:15,M31,ON,nan,nan
1041,1041,02/02/2009,14:35:33,M31,OFF,nan,nan
1042,1042,02/02/2009,14:35:42,M31,ON,nan,nan
1043,1043,02/02/2009,14:36:09,M31,OFF,nan,nan
1044,1044,02/02/2009,14:36:13,M31,ON,nan,nan
1045,1045,02/02/2009,14:36:26,M31,OFF,nan,nan
1046,1046,02/02/2009,14:37:05,M31,ON,nan,nan
1047,1047,02/02/2009,14:37:15,M31,OFF,nan,nan
1048,1048,02/02/2009,14:37:20,M31,ON,nan,nan
1049,1049,02/02/2009,14:37:31,M31,OFF,nan,nan
1050,1050,02/02/2009,14:37:42,M31,ON,nan,nan
1051,1051,02/02/2009,14:38:19,M31,OFF,nan,nan
1052,1052,02/02/2009,14:38:24,M31,ON,nan,nan
1053,1053,02/02/2009,14:38:29,M31,OFF,nan,nan
1054,1054,02/02/2009,14:38:33,M31,ON,nan,nan
1055,1055,02/02/2009,14:38:36,M31,OFF,nan,nan
1056,1056,02/02/2009,14:38:51,M31,ON,nan,nan
1057,1057,02/02/2009,14:39:00,M31,OFF,nan,nan
1058,1058,02/02/2009,14:39:08,M31,ON,nan,nan
1059,1059,02/02/2009,14:39:15,M31,OFF,nan,nan
1060,1060,02/02/2009,14:39:49,M31,ON,nan,nan
1061,1061,02/02/2009,14:39:58,M31,OFF,nan,nan
1062,1062,02/02/2009,14:40:03,M31,ON,nan,nan
1063,1063,02/02/2009,14:40:11,M31,OFF,nan,nan
1064,1064,02/02/2009,14:40:15,M31,ON,nan,nan
1065,1065,02/02/2009,14:40:34,M31,OFF,nan,nan
1066,1066,02/02/2009,14:40:43,M31,ON,nan,nan
1067,1067,02/02/2009,14:40:55,M31,OFF,nan,nan
1068,1068,02/02/2009,14:41:00,M31,ON,nan,nan
1069,1069,02/02/2009,14:41:04,M31,OFF,nan,nan
1070,1070,02/02/2009,14:41:09,M31,ON,nan,nan
1071,1071,02/02/2009,14:41:18,M31,OFF,nan,nan
1072,1072,02/02/2009,14:41:24,M31,ON,nan,nan
1073,1073,02/02/2009,14:41:36,M31,OFF,nan,nan
1074,1074,02/02/2009,14:41:40,M31,ON,nan,nan
1075,1075,02/02/2009,14:41:46,M32,ON,nan,nan
1076,1076,02/02/2009,14:41:46,M31,OFF,nan,nan
1077,1077,02/02/2009,14:41:46,M36,ON,nan,nan
1078,1078,02/02/2009,14:41:54,M32,OFF,nan,nan
1079,1079,02/02/2009,14:41:54,M36,OFF,nan,nan
1080,1080,02/02/2009,14:42:03,M32,ON,nan,nan
1081,1081,02/02/2009,14:42:08,M32,OFF,nan,nan
1082,1082,02/02/2009,14:42:08,M36,ON,nan,nan
1083,1083,02/02/2009,14:42:11,M31,ON,nan,nan
1084,1084,02/02/2009,14:42:11,M36,OFF,nan,nan
1085,1085,02/02/2009,14:42:18,M31,OFF,nan,nan
1086,1086,02/02/2009,14:42:31,M31,ON,nan,nan
1087,1087,02/02/2009,14:42:39,M31,OFF,nan,nan
1088,1088,02/02/2009,14:42:44,M31,ON,nan,nan
1089,1089,02/02/2009,14:42:49,M31,OFF,nan,nan
