,Unnamed: 0,date,time,type,state,location,BE
1371,1371,02/02/2009,15:23:23,M48,ON,R2_Work,begin
1372,1372,02/02/2009,15:23:23,M49,ON,nan,nan
1373,1373,02/02/2009,15:23:23,M50,ON,nan,nan
1374,1374,02/02/2009,15:23:24,M49,OFF,nan,nan
1375,1375,02/02/2009,15:23:24,M44,ON,nan,nan
1376,1376,02/02/2009,15:23:24,M48,OFF,nan,nan
1377,1377,02/02/2009,15:23:26,M44,OFF,nan,nan
1378,1378,02/02/2009,15:23:27,M45,ON,nan,nan
1379,1379,02/02/2009,15:23:29,M50,OFF,nan,nan
1380,1380,02/02/2009,15:23:35,M31,ON,nan,nan
1381,1381,02/02/2009,15:23:36,M31,OFF,nan,nan
1382,1382,02/02/2009,15:23:38,M31,ON,nan,nan
1383,1383,02/02/2009,15:23:44,M31,OFF,nan,nan
1384,1384,02/02/2009,15:23:45,M45,OFF,nan,nan
1385,1385,02/02/2009,15:23:47,M45,ON,nan,nan
1386,1386,02/02/2009,15:23:51,M45,OFF,nan,nan
1387,1387,02/02/2009,15:23:51,M31,ON,nan,nan
1388,1388,02/02/2009,15:23:55,M31,OFF,nan,nan
1389,1389,02/02/2009,15:23:57,M45,ON,nan,nan
1390,1390,02/02/2009,15:23:59,M45,OFF,nan,nan
1391,1391,02/02/2009,15:23:59,M31,ON,nan,nan
1392,1392,02/02/2009,15:24:02,M45,ON,nan,nan
1393,1393,02/02/2009,15:24:06,M31,OFF,nan,nan
1394,1394,02/02/2009,15:24:12,M45,OFF,nan,nan
1395,1395,02/02/2009,15:24:23,M45,ON,nan,nan
1396,1396,02/02/2009,15:24:26,M45,OFF,nan,nan
1397,1397,02/02/2009,15:24:27,M31,ON,nan,nan
1398,1398,02/02/2009,15:24:30,M31,OFF,nan,nan
1399,1399,02/02/2009,15:24:34,M31,ON,nan,nan
1400,1400,02/02/2009,15:24:36,M31,OFF,nan,nan
1401,1401,02/02/2009,15:24:38,M31,ON,nan,nan
1402,1402,02/02/2009,15:24:39,M45,ON,nan,nan
1403,1403,02/02/2009,15:24:39,M31,OFF,nan,nan
1404,1404,02/02/2009,15:24:41,M45,OFF,nan,nan
1405,1405,02/02/2009,15:24:47,M45,ON,nan,nan
1406,1406,02/02/2009,15:24:49,M45,OFF,nan,nan
1407,1407,02/02/2009,15:24:50,M31,ON,nan,nan
