Date,M32,M31,M36,M35,M48,M49,M50,M44,M45,M46,M43,M42,M33,M30,M08,M07,M02,M06,M10,M09,M17,M15,M51,M18,M16,M47,M34,M19,M21,M29,M37,M41,M14,M13,M12,M11,M01,M03,M04,M05,M23,M22,M24,M27,M26,M25,M28,M20,M38,M39,M40
02/02/2009,9, 656, 8, 4, 8, 3, 9, 6, 183, 2, 2, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
03/02/2009,1, 121, 6, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12, 30, 1, 35, 2, 25, 16, 11, 2, 4, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
04/02/2009,15, 362, 7, 8, 15, 1, 1, 1, 43, 4, 1, 2, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
05/02/2009,5, 751, 19, 5, 0, 1, 16, 2, 101, 2, 4, 4, 2, 10, 1, 1, 0, 0, 0, 1, 10, 1, 1, 10, 1, 2, 0, 1, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
06/02/2009,3, 463, 6, 3, 0, 3, 1, 1, 71, 3, 0, 0, 2, 2, 29, 27, 12, 15, 1, 21, 29, 17, 12, 39, 19, 0, 0, 50, 54, 1, 1, 1, 25, 528, 5, 10, 29, 8, 7, 3, 20, 26, 34, 5, 3, 23, 1, 4, 0, 0, 0
09/02/2009,49, 446, 0, 0, 0, 0, 1, 3, 46, 0, 2, 0, 31, 0, 1, 0, 0, 0, 16, 1, 11, 4, 1, 3, 7, 0, 0, 1, 1, 1, 0, 0, 4, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 1, 1, 2, 0, 0, 0, 0
10/02/2009,8, 125, 0, 1, 0, 0, 0, 0, 77, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
16/02/2009,4, 426, 3, 0, 21, 5, 1, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
17/02/2009,1, 552, 0, 0, 49, 0, 0, 0, 233, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18/02/2009,14, 227, 0, 0, 0, 0, 0, 1, 27, 0, 0, 0, 0, 0, 0, 0, 0, 5, 1, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19/02/2009,15, 117, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 1, 4, 3, 0, 0, 2, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20/02/2009,42, 482, 4, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 11, 24, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 16, 11
23/02/2009,9, 264, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
24/02/2009,23, 372, 0, 0, 0, 0, 0, 2, 35, 0, 1, 1, 0, 0, 2, 0, 0, 0, 0, 7, 110, 11, 12, 29, 33, 0, 0, 7, 2, 2, 24, 2, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 1, 2, 1, 0, 27, 10, 4
25/02/2009,13, 113, 0, 0, 31, 0, 0, 5, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
26/02/2009,20, 818, 0, 0, 23, 0, 0, 7, 13, 0, 1, 5, 0, 0, 14, 28, 7, 32, 1, 13, 0, 0, 0, 0, 0, 16, 0, 0, 0, 2, 28, 12, 3, 1, 0, 0, 4, 7, 2, 7, 1, 0, 0, 0, 0, 0, 1, 0, 52, 15, 5
27/02/2009,56, 700, 1, 0, 11, 0, 0, 22, 73, 0, 0, 0, 0, 0, 21, 39, 1, 32, 1, 21, 23, 1, 1, 2, 21, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
28/02/2009,11, 59, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
