Date,M49,M50,M44,M43,M28,M42,M38,M39,M40,M41,M32,M36,M30,M29,M27,M37,M48,M47,M46,M45,M21,L11,M35,M16,M15,M17,M34,M31,M18,M51,M14,M19
02/02/2009,2, 2, 2, 3, 4, 3, 2, 2, 2, 4, 2, 1, 1, 1, 2, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
03/02/2009,2, 3, 1, 2, 1, 0, 2, 1, 3, 3, 0, 0, 0, 2, 0, 2, 3, 2, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
04/02/2009,3, 3, 2, 2, 1, 0, 3, 2, 4, 2, 0, 0, 0, 1, 0, 2, 4, 3, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
05/02/2009,2, 2, 3, 5, 1, 0, 2, 2, 3, 2, 0, 0, 0, 1, 0, 2, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
06/02/2009,1, 2, 1, 2, 0, 2, 2, 1, 2, 2, 0, 0, 0, 0, 0, 2, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
09/02/2009,6, 4, 4, 4, 4, 4, 6, 4, 5, 13, 0, 0, 0, 5, 0, 6, 5, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10/02/2009,2, 2, 2, 2, 0, 2, 2, 2, 3, 2, 0, 0, 0, 2, 0, 2, 2, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
17/02/2009,0, 1, 0, 1, 1, 1, 2, 2, 4, 5, 0, 0, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18/02/2009,0, 2, 2, 2, 0, 1, 2, 2, 3, 2, 0, 0, 0, 2, 0, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19/02/2009,0, 1, 1, 0, 0, 0, 3, 2, 4, 2, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20/02/2009,0, 1, 1, 2, 1, 2, 5, 2, 4, 4, 0, 0, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
23/02/2009,0, 1, 1, 2, 0, 1, 3, 2, 2, 3, 0, 0, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
24/02/2009,0, 0, 1, 1, 2, 2, 8, 2, 4, 4, 0, 0, 0, 2, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
25/02/2009,0, 0, 1, 2, 1, 2, 4, 2, 1, 1, 0, 0, 0, 2, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0
27/02/2009,0, 2, 3, 3, 3, 4, 9, 6, 11, 12, 0, 0, 0, 4, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
02/03/2009,0, 2, 2, 2, 1, 0, 5, 1, 4, 3, 0, 0, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0
03/03/2009,0, 3, 2, 1, 1, 1, 3, 1, 2, 2, 0, 0, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0
04/03/2009,0, 2, 1, 3, 2, 2, 2, 2, 3, 3, 0, 0, 0, 3, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
05/03/2009,0, 0, 0, 1, 1, 0, 6, 3, 3, 4, 0, 0, 0, 1, 0, 5, 0, 0, 0, 0, 0, 0, 0, 5, 2, 7, 0, 0, 3, 1, 0, 0
06/03/2009,0, 0, 1, 0, 1, 0, 8, 4, 3, 3, 0, 0, 0, 1, 1, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 2, 0, 1, 0
09/03/2009,0, 1, 1, 1, 3, 3, 8, 6, 4, 7, 0, 0, 0, 4, 0, 4, 0, 0, 0, 0, 0, 0, 0, 3, 0, 8, 0, 0, 5, 3, 0, 0
10/03/2009,0, 1, 1, 2, 1, 2, 3, 2, 5, 8, 0, 0, 0, 2, 0, 3, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0
11/03/2009,0, 1, 0, 1, 1, 1, 3, 2, 4, 3, 0, 0, 0, 2, 0, 3, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0
12/03/2009,0, 0, 1, 1, 1, 1, 12, 2, 2, 1, 0, 0, 0, 1, 0, 3, 0, 0, 0, 0, 2, 0, 0, 8, 2, 18, 0, 0, 3, 0, 0, 2
23/03/2009,0, 0, 1, 2, 2, 1, 2, 2, 4, 3, 0, 0, 0, 2, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
24/03/2009,0, 0, 2, 2, 2, 1, 3, 2, 3, 3, 0, 0, 0, 2, 0, 3, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 0, 0, 0, 0, 0
25/03/2009,0, 1, 0, 3, 2, 4, 9, 6, 8, 7, 0, 0, 0, 4, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0
26/03/2009,0, 1, 0, 0, 2, 1, 4, 2, 6, 4, 0, 0, 0, 2, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
27/03/2009,0, 3, 3, 5, 4, 6, 11, 6, 15, 19, 0, 0, 0, 7, 0, 11, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0
31/03/2009,0, 1, 1, 1, 0, 1, 3, 2, 3, 4, 0, 0, 0, 2, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
01/04/2009,0, 2, 1, 1, 2, 2, 4, 2, 4, 2, 0, 0, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
02/04/2009,0, 2, 1, 2, 0, 1, 2, 2, 2, 2, 0, 0, 0, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
03/04/2009,0, 2, 2, 2, 0, 1, 5, 4, 3, 12, 0, 0, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
