Date,M47,M46,M45,M50,M49,M48,M34,M35,M31,M44,M32,M33,M36,M30,M37,M38,M29,M43,M42,M41,M39,M40,M21,M24,M25,M17,M16,M15,M51,M18,M09,M14,M28,M27,M26,M19,M13,M08,M07
02/02/2009,0, 2, 183, 9, 3, 8, 0, 4, 656, 6, 9, 1, 8, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
03/02/2009,0, 0, 0, 0, 0, 0, 0, 3, 121, 0, 1, 0, 6, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 10, 11, 2, 4, 25, 0, 0, 0, 0, 0, 0, 12, 30
04/02/2009,15, 4, 43, 1, 1, 15, 1, 8, 362, 1, 15, 5, 7, 5, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
05/02/2009,2, 2, 101, 16, 1, 0, 0, 5, 751, 2, 5, 2, 19, 10, 0, 0, 2, 4, 4, 0, 0, 0, 1, 0, 0, 10, 1, 1, 1, 10, 1, 0, 0, 0, 0, 1, 0, 1, 1
06/02/2009,0, 3, 71, 1, 3, 0, 0, 3, 463, 1, 3, 2, 6, 2, 1, 0, 1, 0, 0, 1, 0, 0, 54, 34, 23, 29, 19, 17, 12, 39, 21, 25, 1, 5, 3, 50, 528, 29, 27
07/02/2009,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10/02/2009,0, 0, 77, 0, 0, 0, 0, 1, 125, 0, 8, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
16/02/2009,18, 2, 0, 1, 5, 21, 0, 0, 426, 0, 4, 0, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
17/02/2009,14, 1, 233, 0, 0, 49, 0, 0, 552, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18/02/2009,0, 0, 27, 0, 0, 0, 0, 0, 227, 1, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0
19/02/2009,0, 0, 0, 0, 0, 0, 0, 0, 117, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 3, 2, 1, 4, 0, 3, 0, 0, 0, 2, 0, 0, 0
20/02/2009,26, 0, 0, 0, 0, 23, 0, 0, 482, 0, 42, 0, 4, 10, 24, 57, 11, 0, 0, 10, 16, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
21/02/2009,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
23/02/2009,0, 0, 0, 0, 0, 0, 0, 0, 264, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
24/02/2009,0, 0, 35, 0, 0, 0, 0, 0, 372, 2, 23, 0, 0, 0, 24, 27, 2, 1, 1, 2, 10, 4, 2, 2, 2, 110, 33, 11, 12, 29, 7, 6, 1, 1, 1, 7, 0, 2, 0
25/02/2009,13, 0, 6, 0, 0, 31, 0, 0, 113, 5, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
26/02/2009,16, 0, 13, 0, 0, 23, 0, 0, 818, 7, 20, 0, 0, 0, 28, 52, 2, 1, 5, 12, 15, 5, 0, 0, 0, 0, 0, 0, 0, 0, 13, 3, 1, 0, 0, 0, 1, 14, 28
27/02/2009,3, 0, 73, 0, 0, 11, 0, 0, 700, 22, 56, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 21, 1, 1, 2, 21, 0, 0, 0, 0, 0, 0, 21, 39
28/02/2009,0, 0, 0, 0, 0, 3, 0, 0, 59, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
02/03/2009,0, 0, 0, 0, 0, 0, 0, 0, 478, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
03/03/2009,0, 0, 43, 3, 0, 0, 0, 0, 330, 5, 48, 2, 1, 1, 17, 46, 4, 3, 1, 7, 10, 9, 1, 1, 0, 25, 14, 5, 5, 9, 36, 6, 2, 0, 1, 1, 0, 39, 52
04/03/2009,8, 0, 0, 0, 0, 9, 0, 0, 964, 0, 110, 0, 2, 2, 2, 16, 2, 0, 0, 6, 2, 10, 0, 0, 0, 60, 35, 7, 9, 21, 71, 4, 0, 0, 0, 19, 0, 8, 36
05/03/2009,22, 0, 0, 0, 0, 96, 0, 0, 348, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 36, 12, 3, 9, 0, 5, 0, 0, 0, 4, 0, 0, 0
06/03/2009,0, 0, 59, 0, 0, 0, 0, 0, 430, 13, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 1, 1
07/03/2009,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
09/03/2009,0, 0, 92, 0, 0, 0, 0, 0, 179, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10/03/2009,0, 0, 0, 0, 0, 0, 0, 0, 431, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 7, 0
11/03/2009,0, 0, 0, 0, 0, 0, 0, 1, 728, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 25, 81, 0, 0, 0, 0, 517, 25, 7
12/03/2009,0, 0, 0, 0, 0, 0, 0, 0, 1096, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 26, 0, 0, 0, 1, 6, 9, 0, 0, 0, 1, 0, 3, 0
